Title,Description,Date,Duration,Audio URL,YouTube URL
"Het meetbaar maken van CRO / UX","
        <p>Guest: Sjoerd Walinga URL: https://nl.cro.cafe/gast/sjoerd-walinga </p>
      ","Fri, 18 Jun 2021 12:41:46 +0200","2226","https://media.transistor.fm/64918221/bc24f7cf.mp3",""
"Van losse CRO initiatieven naar gebundelde krachten bij Tele2","
        


Guest: Rob Harkink
URL: https://nl.cro.cafe/gast/rob-harkink

      ","Mon, 15 Mar 2021 00:00:00 +0100","2717","https://media.transistor.fm/fc5da4e5/54cae9a7.mp3",""
"Samenwerking tussen agencies en opdrachtgevers","
        


Guest: Alen Sirovica
URL: https://nl.cro.cafe/gast/alen-sirovica

      ","Fri, 26 Feb 2021 10:00:00 +0100","2124","https://media.transistor.fm/38de3bc1/814f50fa.mp3",""
"Soft Persuasion: katalyseren ipv overtuigen, met Mischa Coster","
        <p>Guest: Mischa Coster URL: https://nl.cro.cafe/gast/mischa-coster </p>
      ","Mon, 24 Aug 2020 00:00:00 +0200","2640","https://media.transistor.fm/110c6ea3/8318e766.mp3",""
"Data Bedreven Marketing, met Danny Oosterveer (Burgers' Zoo)","
        <p>Guest: Danny Oosterveer URL: https://nl.cro.cafe/gast/danny-oosterveer </p>
      ","Mon, 13 Jul 2020 00:00:00 +0200","2818","https://media.transistor.fm/d9341027/e0483f0b.mp3",""
"Master Data Driven Business @ Hogeschool Utrecht, met Ronald Voorn","
        <p>Guest: Ronald Voorn URL: https://nl.cro.cafe/gast/ronald-voorn </p>
      ","Mon, 29 Jun 2020 00:00:00 +0200","2769","https://media.transistor.fm/785ff9e7/441edd14.mp3",""
"Zoekmachine om je CRO hypotheses op psychologische theorieën te baseren, met Sander Volbeda","
        <p>Guest: Sander Volbeda URL: https://nl.cro.cafe/gast/sander-volbeda </p>
      ","Mon, 15 Jun 2020 00:00:00 +0200","1853","https://media.transistor.fm/2dab90d4/c78b64cc.mp3",""
"Online Invloed, met Joris Groen en Bas Wouters","
        <p>Guest 1: Bas Wouters URL: https://nl.cro.cafe/gast/bas-wouters | Guest 2: Joris Groen URL: https://nl.cro.cafe/gast/joris-groen </p>
      ","Mon, 08 Jun 2020 00:00:00 +0200","2845","https://media.transistor.fm/b00bd3b0/99c66c58.mp3",""
"CRO.CAFE podcast live met Tim Zuidgeest (Unravel)","
        <p>Guest: Tim Zuidgeest | URL: https://nl.cro.cafe/gast/tim-zuidgeest</p>
      ","Wed, 03 Jun 2020 14:00:00 +0200","3624","https://media.transistor.fm/32ca9a1d/6d63290a.mp3",""
"Persuasion software tool gebaseerd op AI, met Tjerk van der Veen","
        <p>Guest: Tjerk van der Veen URL: https://nl.cro.cafe/gast/tjerk-van-der-veen </p>
      ","Mon, 18 May 2020 00:00:00 +0200","2848","https://media.transistor.fm/341c3543/8c9dddc1.mp3",""
"Online inspelen op (veranderende) klantbehoefte, met Nico de Jong","
        <p>Guest: Nico de Jong URL: https://nl.cro.cafe/gast/nico-de-jong </p>
      ","Tue, 21 Apr 2020 20:30:00 +0200","2971","https://media.transistor.fm/ccb1af6f/085d998b.mp3",""
"Optimalisatie vóór livegang, met Marlies Wilms Floet en Mike Wilms (De Nieuwe Zaak)","
        <p>Guest 1: Marlies Wilms Floet URL: https://nl.cro.cafe/gast/marlies-wilms-floet | Guest 2: Mike Wilms URL: https://nl.cro.cafe/gast/mike-wilms </p>
      ","Mon, 13 Apr 2020 00:00:00 +0200","2889","https://media.transistor.fm/6b77d6f1/40e2d925.mp3",""
"Verschillende vormen van gebruikersonderzoek, met Marco van Loon (Metrixlab)","
        <p>Guest: Marco van Loon URL: https://nl.cro.cafe/gast/marco-van-loon </p>
      ","Mon, 06 Apr 2020 00:00:00 +0200","2450","https://media.transistor.fm/70573f3a/249bf78a.mp3",""
"Data Science voor maatschappelijke vraagstukken, met Marieke Schulte (Digital Power)","
        <p>Guest: Marieke Schulte URL: https://nl.cro.cafe/gast/marieke-schulte </p>
      ","Mon, 30 Mar 2020 00:00:00 +0200","1774","https://media.transistor.fm/2f18229e/79426e94.mp3",""
"Live: Waarom user research juist nu heel waardevol is, met Els Aerts en Karl Gillis (AGConsult)","
        <p>Guest 1: Els Aerts URL: https://nl.cro.cafe/gast/els-aerts | Guest 2: Karl Gilis URL: https://nl.cro.cafe/gast/karl-gilis </p>
      ","Wed, 25 Mar 2020 21:00:00 +0100","3151","https://media.transistor.fm/e1f15356/9688e00b.mp3",""
"Optimaliseren van een Talent Acquisition Platform (SaaS), met Milan Meurs (Recruitee)","
        <p>Guest: Milan Meurs URL: https://nl.cro.cafe/gast/milan-meurs </p>
      ","Mon, 23 Mar 2020 14:00:00 +0100","2047","https://media.transistor.fm/747747cc/8aba7eba.mp3",""
"Live: COVID-19 impact, met Simon Vreeman, Shirley van Haalem, Jack Solcer, Tom van den Berg","
        <p>Guest 1: Shirley van Haalem URL: https://nl.cro.cafe/gast/shirley-van-haalem | Guest 2: Tom van den Berg URL: https://nl.cro.cafe/gast/tom-van-den-berg | Guest 3: Simon Vreeman URL: https://nl.cro.cafe/gast/simon-vreeman | Guest 4: Jack Solcer URL: https://nl.cro.cafe/gast/jack-solcer </p>
      ","Thu, 19 Mar 2020 14:00:00 +0100","3034","https://media.transistor.fm/d985e025/701c0c1b.mp3",""
"Recruitment voor CRO, met Mimi VerLoren van Themaat (Finest People)","
        <p>Guest: Mimi VerLoren van Themaat URL: https://nl.cro.cafe/gast/mimi-verloren-van-themaat </p>
      ","Mon, 16 Mar 2020 10:00:00 +0100","1545","https://media.transistor.fm/e6c9ebae/c195ea26.mp3",""
"CRO verkopen, met Joris Bryon (Dexter Agency)","
        <p>Guest: Joris Bryon URL: https://nl.cro.cafe/gast/joris-bryon </p>
      ","Mon, 09 Mar 2020 00:00:00 +0100","2988","https://media.transistor.fm/ba2fac76/306a8480.mp3",""
"CDPs, personalisatie en loyalty, met Janus de Visser (Cloud Nine Digital) en Christian van Nispen (Dept)","
        <p>Guest 1: Janus de Visser URL: https://nl.cro.cafe/gast/janus-de-visser | Guest 2: Cristian van Nispen URL: https://nl.cro.cafe/gast/cristian-van-nispen </p>
      ","Wed, 04 Mar 2020 00:00:00 +0100","2094","https://media.transistor.fm/aa539016/fac7efce.mp3",""
"Datahive 360: Nieuwe ETL tool geïmplementeerd bij Landal Greenparks, met Michel van Luijtelaar (Up Analytics), Tije Vlam (Trafficbuilders) en Mark Tijssen (Landal Greenparks)","
        <p>Guest 1: Tije Vlam URL: https://nl.cro.cafe/gast/tije-vlam | Guest 2: Michel van Luijtelaar URL: https://nl.cro.cafe/gast/michel-van-luijtelaar | Guest 3: Mark Tijssen URL: https://nl.cro.cafe/gast/mark-tijssen </p>
      ","Fri, 28 Feb 2020 00:00:00 +0100","1987","https://media.transistor.fm/7dd9dd4e/cdcb9e28.mp3",""
"Meer ITP en serverside testing, met Ewrin Kerk (Sitespect), Twan Lammers (OrangeValley) en Martijn Drijver (Fosby Digital Agency)","
        <p>Guest 1: Erwin Kerk URL: https://nl.cro.cafe/gast/erwin-kerk | Guest 2: Twan Lammers URL: https://nl.cro.cafe/gast/twan-lammers | Guest 3: Martijn Drijver URL: https://nl.cro.cafe/gast/martijn-drijver </p>
      ","Wed, 26 Feb 2020 00:00:00 +0100","1044","https://media.transistor.fm/3e9f4066/795ab432.mp3",""
"Samenwerking tussen analytics en CRO, met Jan Brooijmans","
        <p>Guest: Jan Brooijmans URL: https://nl.cro.cafe/gast/jan-brooijmans </p>
      ","Mon, 24 Feb 2020 00:00:00 +0100","3341","https://media.transistor.fm/1b011a2e/faf2be98.mp3",""
