Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,female?,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Sjoerd Walinga,sjoerd-walinga,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf6210bb0397,Mon Mar 11 2019 19:04:06 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 10:42:07 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 10:42:07 GMT+0000 (Coordinated Universal Time),,,Concept7,https://concept7.nl/,Usability & User Experience expert,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/5ff1e0549f67bf5730bb07c5_sjoerd.jpg,,https://twitter.com/sjoerdwalinga,https://nl.linkedin.com/in/sjoerdwalinga,true
Ton Wesseling,ton-wesseling,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf8c18bb03ac,Sat Apr 06 2019 11:22:59 GMT+0000 (Coordinated Universal Time),Tue May 04 2021 10:47:12 GMT+0000 (Coordinated Universal Time),Tue May 04 2021 10:47:12 GMT+0000 (Coordinated Universal Time),,true,Online Dialogue,https://onlinedialogue.nl/,Partner,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf85affb51838de6e044e_ton-wesseling.jpeg,https://tonw.com/,http://twitter.com/tonw,http://www.linkedin.com/in/tonwesseling,
Marijke van Spaendonck,marijke-van-spaendonck,5ff1e0549f67bfbc76bb0281,602d8a3e4c150c115c1f85c6,Wed Feb 17 2021 21:27:26 GMT+0000 (Coordinated Universal Time),Tue Apr 20 2021 14:48:17 GMT+0000 (Coordinated Universal Time),Tue Apr 20 2021 14:48:17 GMT+0000 (Coordinated Universal Time),true,false,VodafoneZiggo,https://www.vodafoneziggo.nl/,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/607b1d7640ca3b69e037ab68_1611133027277.jpg,,,https://www.linkedin.com/in/marijke-van-spaendonck-03831ab3/?originalSubdomain=nl,false
Erik van Houwelingen,erik-van-houwelingen,5ff1e0549f67bfbc76bb0281,602d8a6cdcab8b54e8401886,Wed Feb 17 2021 21:28:12 GMT+0000 (Coordinated Universal Time),Thu Mar 25 2021 09:44:56 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 09:51:47 GMT+0000 (Coordinated Universal Time),false,false,Intergamma,https://www.intergamma.nl/,Lead CRO & Web Analytics,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/605c5b8e2f237ef74c20c84e_erik.jpg,,,https://www.linkedin.com/in/erikvanhouwelingen/,false
Jaap van Baar,jaap-van-baar,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf25e9bb0641,Tue Oct 13 2020 08:20:50 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 09:39:43 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 09:39:43 GMT+0000 (Coordinated Universal Time),,,WiQhit,https://wiqhit.com/,Co-founder,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf3f91a9e05549530fd82_jaapvb.jpeg,,,https://www.linkedin.com/in/jaapvanbaar,false
Quirijn van der Haven,quirijn,5ff1e0549f67bfbc76bb0281,602d8a4a0dc7dd14865fc396,Wed Feb 17 2021 21:27:38 GMT+0000 (Coordinated Universal Time),Thu Mar 25 2021 09:42:17 GMT+0000 (Coordinated Universal Time),Thu Mar 25 2021 09:42:17 GMT+0000 (Coordinated Universal Time),false,false,Mopinion,https://mopinion.com/,Marketing team lead,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/605c5ae08081710357e90623_1603961164627.jpg,,,https://www.linkedin.com/in/quirijnvanderhaven/,false
Helene Hallebeek,helene-hallebeek,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf4cd7bb0374,Wed Mar 06 2019 19:38:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:16 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:16 GMT+0000 (Coordinated Universal Time),true,false,Transavia,https://www.transavia.com,CRO Specialist,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8d429b39a33e64df1d8_5c80223c6a6f223d8c7ac473_helene.jpeg,,,https://nl.linkedin.com/in/helenehallebeek,
Mischa Coster,mischa-coster,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf74fcbb0377,Wed Mar 06 2019 19:55:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:11 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:11 GMT+0000 (Coordinated Universal Time),,,Grey Matters,http://www.greymatters.nl,Mediapsychologist and CPO,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8cfa2eb554b0093c810_5c8025ac79da154fc6bd5e39_mischa-coster.jpeg,http://www.mischacoster.com,https://twitter.com/mcoster,https://nl.linkedin.com/in/mcoster,
Roy Huiskes,roy-huiskes,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf5fa1bb0378,Wed Mar 06 2019 20:34:03 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:06 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:06 GMT+0000 (Coordinated Universal Time),,,Mintminds,https://www.mintminds.com/,Digital optimizer,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8cab4e773f3987102c0_5c8941dec170de33bb86291b_royhuiskes.jpeg,https://www.chapter42.com/,https://twitter.com/chapter42,https://nl.linkedin.com/in/royhuiskes,
Rudger de Groot,rudger-de-groot,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf3afebb0376,Wed Mar 06 2019 20:38:49 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:01 GMT+0000 (Coordinated Universal Time),,,Mintminds,https://www.mintminds.com/,Founder & Digital Optimizer,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8c51831911164568ea5_rudgerdegroot.jpeg,,https://twitter.com/derrudi,https://nl.linkedin.com/in/rudgerdegroot,
