Title,Description,Date,Duration,Audio URL,YouTube URL
"What separates the good from the great?","
        <p>Guest 1: Colin Crowell URL: https://www.cro.cafe/guest/colin-crowell | Guest 2: Manuel Da Costa URL: https://www.cro.cafe/guest/manuel-da-costa </p>
      ","Thu, 29 Dec 2022 15:10:31 +0100","2741","https://media.transistor.fm/1b6d6d9a/830b0ecd.mp3",""
"Experimentation values & culture at scale: Linkedin","
        <p>Guest: alexander-ivaniuk URL: https://www.cro.cafe/guest/alexander-ivaniuk </p>
      ","Mon, 27 Sep 2021 17:00:00 +0200","3424","https://media.transistor.fm/5562e843/f6b8967b.mp3",""
"Supercharging the customer journey with analytics data","
        <p>Guest: Steen Rasmussen URL: https://www.cro.cafe/guest/steen-rasmussen </p>
      ","Mon, 20 Sep 2021 00:00:00 +0200","2512","https://media.transistor.fm/aa185158/cd27f1d6.mp3",""
"Turn ice-cold traffic into thrilled-to-be-paying customers with high-converting copy","
        <p>Guest: Eden Bidani URL: https://www.cro.cafe/guest/eden-bidani </p>
      ","Tue, 14 Sep 2021 17:02:26 +0200","2071","https://media.transistor.fm/2d42f842/9a843dc8.mp3",""
"Where to start when the company needs CRO, but doesn't know they do.","
        <p>Guest: Andrea Romano Velandia URL: https://www.cro.cafe/guest/andrea-romano-velandia </p>
      ","Thu, 08 Jul 2021 11:41:32 +0200","1696","https://media.transistor.fm/2ee454d2/1d941b10.mp3",""
"Optimizing Conversion Rates by Working on Just One Page. Genius or Madness?","
        <p>Guest: Rishi Rawat URL: https://www.cro.cafe/guest/rishi-rawat </p>
      ","Mon, 05 Jul 2021 00:00:00 +0200","2663","https://media.transistor.fm/607136f8/93285b68.mp3",""
"Using text messages to improve conversions and retention","
        <p>Guest: Jeremy Horowitz URL: https://www.cro.cafe/guest/jeremy-horowitz </p>
      ","Sat, 03 Jul 2021 22:00:20 +0200","2557","https://media.transistor.fm/8e48e462/af90aa8e.mp3",""
"Bayesian expected loss: Telling a complete story with data","
        <p>Guest: Iqbal Ali URL: https://www.cro.cafe/guest/iqbal-ali </p>
      ","Mon, 21 Jun 2021 10:30:55 +0200","2799","https://media.transistor.fm/cb86ade1/88fe63b5.mp3",""
"Experience as UX designer in a very data driven company (Booking.com)","
        <p>Guest: Alex Muñoz URL: https://www.cro.cafe/guest/alex-munoz </p>
      ","Wed, 16 Jun 2021 15:00:00 +0200","2215","https://media.transistor.fm/6a6d7578/d99df68b.mp3",""
"CRO Flywheel: How Microsoft Kickstarted the A/B testing Momentum and keeps it going","
        <p>Guest: Aleksander Fabijan URL: https://www.cro.cafe/guest/aleksander-fabijan </p>
      ","Mon, 17 May 2021 19:00:00 +0200","2669","https://media.transistor.fm/6e7e6bb5/ee84f596.mp3",""
"Top 10 reasons your A/B tests fail the Quality Assurance phase","
        Abi Hough is an experienced QA specialist for online experiments and she'll show us the Top 10 reasons A/B tests fail... even before they go live.




Guest: Abi Hough
URL: https://www.cro.cafe/guest/abi-hough

      ","Mon, 10 May 2021 20:00:00 +0200","4183","https://media.transistor.fm/db94d625/dae75518.mp3",""
"Remote growth hacking from Nigeria","
        <p>Guest: Tawab Jabar URL: https://www.cro.cafe/guest/tawab-jabar </p>
      ","Mon, 03 May 2021 00:00:00 +0200","2588","https://media.transistor.fm/6cfe0f83/407cb0e8.mp3",""
"Confession time: Sequential testing and why machines won't replace us any time soon, with Merritt Aho","
        <p>Guest: Merritt Aho URL: https://www.cro.cafe/guest/merritt-aho </p>
      ","Tue, 29 Dec 2020 18:06:19 +0100","3020","https://media.transistor.fm/331c0875/afe0bd7d.mp3",""
"Experimentation at ecommerce SaaS company Shopify, with Casandra Campbell","
        <p>Guest: Casandra Campbell URL: https://www.cro.cafe/guest/casandra-campbell </p>
      ","Mon, 23 Nov 2020 16:45:45 +0100","2433","https://media.transistor.fm/f772545e/162b2f80.mp3",""
"How to run copy experiments & why you should differentiate, with Peep Laja","
        <p>Guest: Peep Laja URL: https://www.cro.cafe/guest/peep-laja </p>
      ","Mon, 16 Nov 2020 00:00:31 +0100","2789","https://media.transistor.fm/ca2e2245/f12c2c6d.mp3",""
"How to embed experimentation into Agile product development, with Jonny Longden","
        <p>Jonny Longden URL: https://www.cro.cafe/guest/jonny-longden </p>
      ","Mon, 09 Nov 2020 00:00:00 +0100","3563","https://media.transistor.fm/b5b35b1e/a0d9d116.mp3",""
"Are you a movie critic? You might be great at CRO! With Sumantha Shankaranarayana","
        <p>Guest: Sumantha Shankaranarayana URL: https://www.cro.cafe/guest/sumantha-shankaranarayana </p>
      ","Mon, 02 Nov 2020 00:09:51 +0100","3482","https://media.transistor.fm/c94477d2/fa5d78de.mp3",""
"Book launch: Online Influence, with Bas Wouters","
        <p>Guest: Bas Wouters URL: https://www.cro.cafe/guest/bas-wouters</p>
      ","Mon, 26 Oct 2020 00:00:00 +0100","2702","https://media.transistor.fm/362f4228/c4beaeb1.mp3",""
"Switching gears when the pandemic upends your traffic, with Dave Powell (TomTom)","
        <p>Guest: Dave Powell URL: https://www.cro.cafe/guest/dave-powell </p>
      ","Mon, 12 Oct 2020 00:00:00 +0200","2036","https://media.transistor.fm/3a681b62/fc121cf6.mp3",""
"Main pitfalls for CRO Agencies when working with clients, with Ricardo Tayar López (Flat101)","
        <p>Guest: Ricardo Tayar López URL: https://www.cro.cafe/guest/ricardo-tayar-lopez </p>
      ","Mon, 05 Oct 2020 00:00:00 +0200","3215","https://media.transistor.fm/f67b4e00/14000aac.mp3",""
"How to become a better CRO professional, with Abi Hough & Craig Sullivan","
        <p>Guest 1: Abi Hough URL: https://www.cro.cafe/guest/abi-hough | Guest 2: Craig Sullivan URL: https://www.cro.cafe/guest/craig-sullivan </p>
      ","Tue, 29 Sep 2020 11:02:34 +0200","1888","https://media.transistor.fm/f86dbd7d/cee29f00.mp3",""
