Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL,Radio station?
RSS,rss,5f762516f490f51849d63979,5f762516f490f53210d63b15,Tue Jun 25 2019 21:29:39 GMT+0000 (Coordinated Universal Time),Mon Aug 09 2021 16:19:12 GMT+0000 (Coordinated Universal Time),Mon Aug 09 2021 16:19:12 GMT+0000 (Coordinated Universal Time),99,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfee7692e363381333aef_5d12923e7a7a1ab4e4f1dc06_rss-icon_49830f5c3785a21ecb580f540ba59cbf.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeec33bbb6d867995849_rss-icon.png,https://feeds.transistor.fm/cro-cafe,false
Apple Podcasts,itunes,5f762516f490f51849d63979,5f762516f490f55e09d63a74,Thu Mar 07 2019 16:56:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:02 GMT+0000 (Coordinated Universal Time),1,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff51cb9e04d55fbb353e_5d20613ffce0e3f9cf8bf68c_apple-podcast_3943de2efc2a368c4f2861af2fcd5cc9.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff559df942804523fc04_apple-podcast-icon.png,https://podcasts.apple.com/nl/podcast/cro-caf%C3%A9/id1441653737,false
Spotify,spotify,5f762516f490f51849d63979,5f762516f490f51080d63a76,Thu Mar 07 2019 16:57:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:46 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:46 GMT+0000 (Coordinated Universal Time),2,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff421831914e9c597216_5be2e7adafdcd72247118cd1_spotify-32.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff46bb13e3ec2535e9ab_spotify-icon.png,https://open.spotify.com/show/5TrJo8SegrE2haCeMDLB3M,false
Stitcher,stitcher,5f762516f490f51849d63979,5f762516f490f579c8d63a72,Thu Mar 07 2019 16:57:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:28 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:28 GMT+0000 (Coordinated Universal Time),9,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff30ef825f580da8baa2_5c842d163645871610fd986c_5c33eda3ee3329501ac53a77__178f8b9c01c01203e33dc0640da77d6d.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff34eca866d3ad5c8d1e_stitcher-icon.png,https://www.stitcher.com/s?fid=351596&refid=stpr,false
Pocket Casts,pocket-casts,5f762516f490f51849d63979,5f762516f490f52561d63a73,Thu Mar 07 2019 16:58:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:19 GMT+0000 (Coordinated Universal Time),6,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff2633bbb633e29986b6_5c33ec7e8914d6645aac03a1_pc2.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff2b7712d48b52b70d16_pocket-casts-logo.png,https://pca.st/gpU3,false
Overcast,overcast,5f762516f490f51849d63979,5f762516f490f53850d63a6f,Thu Mar 07 2019 17:28:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:08 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:08 GMT+0000 (Coordinated Universal Time),5,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff1b3571922c806e0fe8_overcast-icon.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff20ab967a718509f369_overcast-icon.png,https://overcast.fm/itunes1441653737/cro-cafe,false
Castbox,castbox,5f762516f490f51849d63979,5f762516f490f5b2f0d63a75,Thu Mar 07 2019 17:31:49 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:59 GMT+0000 (Coordinated Universal Time),4,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff11ab967a64e409e51a_castbox.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff17acbd4dff76666b32_castbox-icon.png,https://castbox.fm/channel/CRO.CAFE-id1484469,false
TuneIn,tunein,5f762516f490f51849d63979,5f762516f490f5616fd63a8f,Thu Mar 21 2019 18:51:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:48 GMT+0000 (Coordinated Universal Time),13,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff06991ee1ddbd762c8b_tunein-icon.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff0c121eb9ea1ae89418_tunein-icon.png,https://tunein.com/podcasts/Business--Economics-Podcasts/CROCAFE-p1213162/,false
Breaker,breaker,5f762516f490f51849d63979,5f762516f490f569e0d63b13,Tue Jun 25 2019 19:39:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:37 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:37 GMT+0000 (Coordinated Universal Time),10,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfefc33bbb66ae0996428_5d12794811126037b1c25235_breaker-icon_cdb0bf6f90ac865b9728e23a741d19f4.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff01b6576a102a5f3d83_breaker-icon.png,https://www.breaker.audio/cro-dot-cafe-1,false
RadioPublic,radiopublic,5f762516f490f51849d63979,5f762516f490f53f4cd63b14,Tue Jun 25 2019 19:45:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:27 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:27 GMT+0000 (Coordinated Universal Time),14,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfef18f81ca07563d4b1f_5d1285df7a7a1aee04f177a4_radiopublic-flag-white_40_ea70e4837c658e6615411aa30d0c1fd3.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfef7acbd4d5128665974_radiopublic-icon.png,https://radiopublic.com/crocafe-Wkz9By,false
