Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Logo
Accenture,accenture,62446457cab48b17a725199c,62446457cab48b099c251c15,Mon Sep 28 2020 11:04:35 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:39 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48bc6f425214e_accenture.png
Adobe,adobe,62446457cab48b17a725199c,62446457cab48b0550251c1a,Sat Sep 26 2020 10:41:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:58 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b52a0252152_adobe.png
Autodesk,autodesk,62446457cab48b17a725199c,62446457cab48bb7b9251c13,Thu Mar 11 2021 20:56:06 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:28 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b806e25214c_1200px-Autodesk_Logo.png
Booking,booking,62446457cab48b17a725199c,62446457cab48b42b5251c1d,Thu Sep 24 2020 15:44:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:14 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48ba8d0252155_booking.png
Google,google,62446457cab48b17a725199c,62446457cab48b3437251c21,Thu Sep 24 2020 15:44:09 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:35 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b4256252159_google.png
Hunkemöller,hunkemoller,62446457cab48b17a725199c,62446457cab48b2905251c19,Sat Sep 26 2020 10:41:28 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:53 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b0bc3252151_hunkemoller.png
IKEA,ikea,62446457cab48b17a725199c,62446457cab48b010f251c1c,Fri Sep 25 2020 19:00:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:08 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b505b252154_ikea.png
Kaspersky,kaspersky,62446457cab48b17a725199c,62446457cab48b7fcf251c14,Mon Sep 28 2020 13:01:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:34 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b3c1e25214d_Kaspersky.png
L'Oréal,loreal,62446457cab48b17a725199c,62446457cab48bff3d251c12,Thu Mar 11 2021 20:57:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:23 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b5fec25214b_LOreal-logo-3.png
Philips,philips,62446457cab48b17a725199c,62446457cab48b6bb4251c18,Sat Sep 26 2020 10:41:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:49 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b7fea252150_philips.png
TomTom,tomtom,62446457cab48b17a725199c,62446457cab48b2a3e251c23,Thu Sep 24 2020 15:43:50 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:46 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b505325215b_tomtom-logo.png
WeTransfer,wetransfer,62446457cab48b17a725199c,62446457cab48b7862251c1f,Thu Sep 24 2020 15:44:25 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:24 GMT+0000 (Coordinated Universal Time),Wed Mar 30 2022 14:56:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b523e252157_wetransfer.png
