Title,Description,Date,Duration,Audio URL,YouTube URL
"CRO-Strategien im Reisebereich - mit Lea Mattern von Condor","
        <p>In der aktuellen Folge sprechen wir mit Lea Mattern, sie ist CRO- und Experimentation-Expertin bei Condor. Lea gibt uns exklusive Einblicke in die Besonderheiten und Herausforderungen von CRO im dynamischen Reisebereich. Außerdem verrät sie, wie bei Condor CRO-Strategien entwickelt werden, die nicht nur kurzfristige Erfolge, sondern vor allem eine nachhaltige Optimierung der Kundenerfahrung sicherstellen. Wir erkunden die Feinheiten einer langfristigen gegenüber einer kurzfristigen Ausrichtung und wie die enge Zusammenarbeit innerhalb der Branche die Zukunft von CRO beeinflussen könnte.</p>
      ","Wed, 26 Feb 2025 13:38:29 +0100","1836","https://media.transistor.fm/2127407e/5804bfd3.mp3",""
"A/B Testing für Leadgenerierung: Best Practices mit Julian Kleinknecht","
        <p>In dieser Folge spricht Michael mit dem Experten Julian Kleinknecht, Co-Founder und Geschäftsführer von ConversionBoosting, über die Kunst des A/B Testings im Bereich der Leadgenerierung. Kleinknecht enthüllt wertvolle Best Practices, die helfen, die Effektivität von Kampagnen zu steigern und die Anzahl qualifizierter Leads zu erhöhen. Dabei deckt er die grundlegenden Unterschiede zwischen A/B Testing für Leadgenerierung und der herkömmlichen Conversion-Rate-Optimierung im eCommerce auf. Guest: Julian Kleinknecht URL: https://de.cro.cafe/guest/julian-kleinknecht </p>
      ","Wed, 20 Nov 2024 10:00:00 +0100","2073","https://media.transistor.fm/1bcf958d/542a0c6d.mp3",""
"The Future of CRO - mit René Gilster","
        <p>Die Zukunft der Conversion Rate Optimierung ist bisher noch unklar. René Gilster, Principal Behavior Sciences &amp; Head of Data Sciences bei konversionsKRAFT, verrät uns in dieser Folge seine Prognose der zukünftigen CRO-Welt. Welche Profi-Tipps seiner Meinung nach unbedingt angewendet werden sollten und an welchen Trends wir nicht vorbeikommen werden, teilt er uns ebenfalls mit. Zudem gibt er uns noch seine Top 3 Bücher- und Podcast-Empfehlungen mit auf den Weg. Guest: René Gilster URL: https://de.cro.cafe/guest/rene-gilster </p>
      ","Tue, 16 Jul 2024 08:58:21 +0200","2083","https://media.transistor.fm/8aaca937/9ba0ae27.mp3",""
"Unternehmenskultur als Erfolgsfaktor - mit Niklas Bräutigam Co-Founder von Conversion Stash","
        <p>Die Unternehmenskultur spielt eine entscheidende Rolle und hat großen Einfluss auf die Effektivität eines CRO-Programms. Niklas Bräutigam, Co-Founder von Conversion Stash und Digital CRO Manager bei C&amp;A, teilt in der heutigen Folge, wie die Unternehmenskultur den Erfolg von Optimierungsprogrammen beeinflusst, was die wichtigsten Faktoren beim Testing sind und welche Tools dabei helfen können. Außerdem geht er genauer darauf ein, warum die Dokumentation so wichtig ist und was seine Top 3 Bücher,Blogs und Podcasts sind.Seine Empfehlungen:</p><ul><li>Das Buch: Trustworthy Online Controlled Experiments von Ron Kohavi</li><li>Das Buch: Experimentation Works von Stefan Thomke</li><li>Das Buch: The complete CRO Course bei Udemy von Ruben de Boer</li><li>Das Buch: The Person in Personalisation von David Mannheim</li><li>Den Podcast: nohacks.show von Slobodan Manić</li><li>Den Newsletter: Experimental Mind von Kevin Anderson</li><li><a href=""https://www.conversion-stash.com/"">Conversion Stash</a></li><li><a href=""https://www.lukasvermeer.nl/publications/2023/06/26/detecting-interaction-effects-in-online-experimentation.html"">Blogserie von Lukas Vermeer</a></li><li><a href=""https://3tech.ck.page/experimentation-tuesday"">“Experimentation Tuesday” von Nils Koppelmann</a></li></ul><p> Guest: Niklas Bräutigam URL: https://de.cro.cafe/guest/niklas-brautigam </p>
      ","Wed, 15 May 2024 14:06:24 +0200","1568","https://media.transistor.fm/0761208b/e0c61482.mp3",""
"LinkedIn-Anzeigen leicht gemacht - mit Kathleen Höller","
        <p>Testing von LinkedIn Ads bietet enormes Potenzial, um die Reichweite zu steigern und mehr Leads zu generieren. Kathleen Höller, Head of Marketing bei InnoOne, erzählt in dieser Folge, für wen LinkedIn Anzeigen sinnvoll sind, was für ein Budget man benötigt und wie man das volle Potenzial durch Testing ausschöpfen kann. Außerdem teilt sie ihre Top-Tipps für den Einstieg in das Thema und was die häufigsten Fehler beim Testing sind. Guest: Kathleen Höller URL: https://de.cro.cafe/guest/kathleen-holler </p>
      ","Tue, 20 Feb 2024 09:00:00 +0100","1798","https://media.transistor.fm/a74bf5a5/672ce30d.mp3",""
"Durch eine maßgeschneiderte UX mehr Erfolg im E-Commerce - mit Anas Elimani ","
        <p>Heute zu Gast Anas Elimani, Co-Founder von Labrigart.Design. Wir sprechen darüber, wie wichtig eine gute User Experience im E-Commerce ist. Anas erklärt fundierte UX-Methoden und verrät die wichtigsten Usability-Gesetze für höhere Conversion Rates und mehr Erfolg im E-Commerce. Hier gibt es nochmal die wichtigsten Insights der Episode zum Nachlesen: <a href=""https://labrigart.de/alle-tipps-und-tricks-aus-der-podcast-folge-im-cro-cafe"">https://labrigart.de/alle-tipps-und-tricks-aus-der-podcast-folge-im-cro-cafe</a><strong>Anas's Buch &amp; Podcasts Empfehlungen:</strong></p><ul><li>TED Talks UX - YouTube</li><li>PsyConversion, Philipp Spreer</li></ul><p> Guest: Anas Elimani URL: https://de.cro.cafe/guest/anas-elimani </p>
      ","Wed, 20 Dec 2023 08:00:00 +0100","2390","https://media.transistor.fm/e0e03a1f/acd2be23.mp3",""
"Einblicke in das CRO-Programm von BabyOne - mit Rebecca Hahn und Amelie Albers","
        <p>Testing ist sehr vielfältig und jedes Unternehmen hat eine andere Strategie. In dieser Episode haben wir Rebecca Hahn, UX-Designerin und Amelie Albers, E-Commerce Managerin bei BabyOne, dem führenden Omnichannel-Anbieter für Baby- und Kleinkind-Produkte, zu Gast. Sie erzählen über die Experimentation-Strategie bei BabyOne, teilen interessante Best Practices sowie spannende Insights und Projekte, an denen sie gerade arbeiten.Ihre Tipp's für Inspiration rund um das Thema CRO und UX:</p><ul><li>LinkedIn</li><li><strong>Designing with Data</strong> von Rochelle King, Elizabeth F. Churchill, Caitlin Tan</li><li>Artikel von KonversionsKraft</li><li>Podcast <strong>Kassenzone</strong></li></ul><p> Guest 1: Amelie Albers URL: https://de.cro.cafe/guest/amelie-albers | Guest 2: Rebecca Hahn URL: https://de.cro.cafe/guest/rebecca-hahn </p>
      ","Tue, 28 Nov 2023 10:00:00 +0100","1970","https://media.transistor.fm/b3f329f5/0aa70988.mp3",""
"Psychologische Maßnahmen zur Kundengewinnung - mit Dr. Astrid Junghans","
        <p>Damit man seine potenzielle Kundschaft auch erreicht, ist es eine grundlegende Voraussetzung, deren Verhalten sowie die Bedürfnisse zu kennen. Das schafft man, indem man psychologische Maßnahmen anwendet. Astrid Junghans, Managing Consultant und promovierte Psychologin bei elaboratum, erzählt uns in der aktuellen Folge welche Maßnahmen sie anhand ihrer vergangenen Learnings bei elaboratum anwendet. Sie ist Expertin für Verhaltensänderung und Forschungsmethoden, kennt und weiß wie ihre Zielgruppe tickt. Außerdem teilt sie uns ihre Sicht der zukünftigen Entwicklungen mit. Guest: Astrid Junghans URL: https://de.cro.cafe/guest/astrid-junghans </p>
      ","Tue, 07 Nov 2023 09:27:01 +0100","2133","https://media.transistor.fm/c5458fb1/c8b6bea7.mp3",""
"Testing bei kleineren Unternehmen mit Gunnar Asmussen","
        <p>Gunnar Asmussen, CMO &amp; CTO von <a href=""https://www.kurz-mal-weg.de/"">kurz-mal-weg,de</a>, spricht in dieser Folge über seinen Wechsel in die Reisebranche und seine Best Practices im Testing. Außerdem klärt er auf, ob es bei kleineren Unternehmen mit wenig Traffic Sinn macht, A/B-Tests zur Optimierung zu nutzen und worauf man dabei achten sollte.Viel Spaß beim Hören!<strong>Gunnar's Tipps zum Thema CRO:</strong></p><ul><li>LinkedIn: Samuel Hess und Jakub Linowski</li><li><a href=""http://Goodui.org"">Goodui.org</a></li><li><a href=""http://guessthetest.com"">guessthetest.com</a></li></ul><p> Guest: Gunnar Asmussen URL: https://de.cro.cafe/guest/gunnar-asmussen </p>
      ","Tue, 17 Oct 2023 16:52:29 +0200","2362","https://media.transistor.fm/712dfa01/c54201fa.mp3",""
"Wie KI die Zukunft des Marketings verändert mit Niklas Lewanczik","
        <p>Künstliche Intelligenz gewinnt immer mehr an Bedeutung. Der Durchbruch von ChatGPT hat uns gezeigt, wie sich unser Arbeitsalltag durch KI verändern wird. Niklas Lewanczik, Redaktionsleiter bei Onlinemarketing.de, kennt sich bestens mit der Thematik aus und gibt uns spannende Einblicke in die Arbeit mit Künstlicher Intelligenz. Außerdem verrät er, welche nützliche Tools es momentan auf dem Markt gibt.<strong>Niklas's Empfehlungen:</strong></p><ul><li>Blog von Open.ai</li><li>Blogs von Google (DeepMind)</li><li>AI Podcast von Videa </li></ul><p>Guest: Niklas Lewanczik URL: https://de.cro.cafe/guest/niklas-lewanczik </p>
      ","Tue, 18 Jul 2023 11:00:00 +0200","2465","https://media.transistor.fm/55f7fd1c/10eba26e.mp3",""
