Name & SERP Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Host,All guests (incl main guest),Intro & SERP Meta Description,directmp3link,Publication date,Season,Episode ID - short,Overall episode number,Bonus episode?,Featured (popular),Main image,Shownotes/ extra info,Youtube Embed code,Transcript,Guests,Date,Duration,YouTube URL,Main Image,Show Notes
A/B Testing für Leadgenerierung: Best Practices mit Julian Kleinknecht,a-b-testing-fur-leadgenerierung-best-practices-mit-julian-kleinknecht,62446457cab48b4f642519ed,673cbc11c2b38827a81d3001,Tue Nov 19 2024 16:25:53 GMT+0000 (Coordinated Universal Time),Wed Nov 20 2024 09:00:43 GMT+0000 (Coordinated Universal Time),Wed Nov 20 2024 09:00:43 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,julian-kleinknecht,"Julian Kleinknecht teilt Einblicke in Best Practices des A/B Testings für Leadgenerierung und erklärt die wesentlichen Unterschiede zu CRO im eCommerce.
",https://audio.transistor.fm/m/shows/28592/31c0a578c7cba417a6233d6af1321380.mp3?download=a-b-testing-fur-leadgenerierung-best-practices-mit-julian-kleinknecht,Wed Nov 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,43,false,true,https://cdn.prod.website-files.com/62446457cab48b69bf25195e/673cbbf8af4094642401e3fe_CRO_CAFE_Julian%20Kleinknecht.jpg,"<p id="""">In dieser Folge spricht Michael mit dem Experten Julian Kleinknecht über die Kunst des A/B Testings im Bereich der Leadgenerierung. Kleinknecht enthüllt wertvolle Best Practices, die helfen, die Effektivität von Kampagnen zu steigern und die Anzahl qualifizierter Leads zu erhöhen. Dabei deckt er die grundlegenden Unterschiede zwischen A/B Testing für Leadgenerierung und der herkömmlichen Conversion-Rate-Optimierung im eCommerce.</p>",,,,2025-01-10T20:38:14.600Z,0,,https://cdn.prod.website-files.com/62446457cab48b69bf25195e/673cbbf8af4094642401e3fe_CRO_CAFE_Julian%20Kleinknecht.jpg,
The Future of CRO - mit René Gilster,the-future-of-cro-mit-rene-gilster,62446457cab48b4f642519ed,66961ffcdeb86ffc1d69763b,Tue Jul 16 2024 07:23:40 GMT+0000 (Coordinated Universal Time),Tue Jul 16 2024 07:28:45 GMT+0000 (Coordinated Universal Time),Tue Jul 16 2024 07:28:45 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,rene-gilster,"René Gilster, Principal Behavior Sciences & Head of Data Sciences bei konversionsKRAFT spricht über die Zukunft von CRO und wertvolle Pro-Tipps.",https://audio.transistor.fm/m/shows/28592/b38ead8cf584d158048b2f01a00b16f3.mp3?download=the-future-of-cro-mit-rene-gilster,Tue Jul 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,42,false,true,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/66961fdf2acafee6ab73b42f_CRO_CAFE_Rene%20Gilster(1).jpg,"<p id="""">Die Zukunft der Conversion Rate Optimierung ist bisher noch unklar. René Gilster, Experte in Principal Behavior Sciences &amp; Head of Data Sciences bei konversionskraft, verrät uns in dieser Folge seine Prognose der zukünftigen CRO-Welt mit. Welche Profi-Tipps seiner Meinung nach unbedingt angewendet werden sollten und an welchen Trends wir nicht vorbeikommen werden, teilt er uns ebenfalls mit. Zudem gibt er uns noch seine Top 3 Bücher- und Podcast-Empfehlungen mit auf den Weg.</p>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/66961fdf2acafee6ab73b42f_CRO_CAFE_Rene%20Gilster(1).jpg,
GMS24-Special: Personalisierung und Testing der Zukunft - mit Ilja Gurevich,gms24-special-personalisierung-und-testing-der-zukunft-mit-ilja-gurevich,62446457cab48b4f642519ed,667d636798f49138df2dc996,Thu Jun 27 2024 13:04:39 GMT+0000 (Coordinated Universal Time),Thu Jun 27 2024 13:21:43 GMT+0000 (Coordinated Universal Time),Thu Jun 27 2024 13:21:43 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,ilja-gurevich,"Ilja Gurevich und Michael Witzenleiter teilen Zukunftsaussichten von Personalisierung, Testing und die neuesten Trends bei der GMS 2024.
",https://audio.transistor.fm/m/shows/28592/a050544bf046cbc41b9bc6604526efbc.mp3?download=gms24-special-personalisierung-und-testing-der-zukunft-mit-ilja-gurevich,Thu Jun 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,41,false,true,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/667d62d33df0fa2af897d895_CRO_CAFE_Ilja%20Gurevich(2).jpg,"<p id="""">Live auf der Growth Minded Superheroes Konferenz 2024 in Frankfurt: Ilja Gurevich, Digital Services Lead NETHLETES &amp; Top Sport Consultant, gibt uns in dieser Special-Folge Einblicke in die Personalisierung- und Testing-Welt der Zukunft. Außerdem sprechen Ilja und Michael über die Eindrücke und Trends der GMS 2024. Gemeinsam werfen sie einen Blick darauf, wie innovative Technologien den Markt revolutionieren, welche Bedürfnisse der Konsument hat und wie man diese bestmöglich befriedigen kann.</p>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/667d62d33df0fa2af897d895_CRO_CAFE_Ilja%20Gurevich(2).jpg,
Das Erfolgsgeheimnis von Testing und Personalisierung bei congstar - mit Janina Schwill,das-erfolgsgeheimnis-von-testing-und-personalisierung-bei-congstar-mit-janina-schwill,62446457cab48b4f642519ed,665f0e4e68c6c273f8a2e0f8,Tue Jun 04 2024 12:53:34 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 13:30:44 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 13:30:44 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,janina-schwill,"Janina Schwill teilt uns in der heutigen Folge mit, welche Schritte sie unternommen haben, um Experimentation und Personalisierung im Unternehmen zu etablieren.",https://audio.transistor.fm/m/shows/28592/db65afc585bdc9557905f0c04a268f14.mp3?download=das-erfolgsgeheimnis-von-testing-und-personalisierung-bei-congstar-mit-janina-schwill,Tue Jun 04 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,40,false,true,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/665f10b67af51bfa5eb1a74b_CRO_CAFE_Janina%20Schwill.jpg,"<p id="""">Das Unternehmen congstar hat jahrelange Erfahrung im Testing und profitiert mittlerweile von einer aufgeschlossenen Testing-Kultur. Janina Schwill, Senior Managerin im digitalen Kundenerlebnis bei Congstar, erzählt uns in der heutigen Folge, wie sie es an diesen Punkt geschafft haben, wie das richtige Mindset aussehen sollte und welche Faktoren daran hindern, den vollen Nutzen aus der Conversion-Optimierung zu ziehen. Außerdem teilt sie Best Practices und Inspirationsquelle zum Thema CRO.</p><ul id=""""><li>Growth Ambassador Community&nbsp;</li><li>Events wie die “Experimentation Unite"" von Kameleoon,&nbsp;</li><li>Messen wie die “Growth Marketing Summit” von KonversionsKRAFT</li></ul>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/665f10b67af51bfa5eb1a74b_CRO_CAFE_Janina%20Schwill.jpg,
Unternehmenskultur als Erfolgsfaktor - mit Niklas Bräutigam Co-Founder von Conversion Stash,unternehmenskultur-als-erfolgsfaktor-mit-niklas-brautigam-co-founder-von-conversion-stash,62446457cab48b4f642519ed,665ef355a9a6f53f8e3a0c27,Tue Jun 04 2024 10:58:29 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 12:48:17 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 12:48:17 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,niklas-brautigam,"Niklas Bräutigam teilt in der heutigen Folge, wie die Unternehmenskultur den Erfolg von Optimierungsprogrammen beeinflusst.",https://audio.transistor.fm/m/shows/28592/ff940c0dd2a81ea5c61279a6266677ad.mp3?download=unternehmenskultur-als-erfolgsfaktor-mit-niklas-brautigam-co-founder-von-conversion-stash,Wed May 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,39,false,false,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/665f0b861b48d1a6ff99926b_CRO_CAFE_Niklas%20Bra%CC%88utigam%20(1).jpg,"<p id="""">Die Unternehmenskultur spielt eine entscheidende Rolle und hat großen Einfluss auf die Effektivität eines CRO-Programms. Niklas Bräutigam, Co-Founder von Conversion Stash und Digital CRO Manager bei C&amp;A, teilt in der heutigen Folge, wie die Unternehmenskultur den Erfolg von Optimierungsprogrammen beeinflusst, was die wichtigsten Faktoren beim Testing sind und welche Tools dabei helfen können. Außerdem geht er genauer darauf ein, warum die Dokumentation so wichtig ist und was seine Top 3 Bücher/Blogs Podcast sind.</p><p>Seine Empfehlungen:</p><ul id=""""><li id="""">Das Buch: Trustworthy Online Controlled Experiments von Ron Kohavi</li><li id="""">Das Buch: Experimentation Works von Stefan Thomke</li><li id="""">Das Buch: The complete CRO Course bei Udemy von Ruben de Boer</li><li id="""">Das Buch: The Person in Personalisation von David Mannheim</li><li id="""">Den Podcast: nohacks.show von Slobodan Manić</li><li id="""">Den Newsletter: Experimental Mind von Kevin Anderson</li><li id=""""><a href=""https://www.conversion-stash.com/"" target=""_blank"" id="""">Conversion Stash</a></li><li id=""""><a href=""https://www.lukasvermeer.nl/publications/2023/06/26/detecting-interaction-effects-in-online-experimentation.html"" target=""_blank"" id="""">Blogserie von Lukas Vermeer</a><a href=""https://3tech.ck.page/experimentation-tuesday"" target=""_blank"">‍</a></li><li id=""""><a href=""https://3tech.ck.page/experimentation-tuesday"" target=""_blank"">“Experimentation Tuesday” von Nils Koppelmann</a></li></ul>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/665f0b861b48d1a6ff99926b_CRO_CAFE_Niklas%20Bra%CC%88utigam%20(1).jpg,
"Aus E-Commerce wird R-Commerce: Digitaler Erfolg durch nachhaltige Kundenbeziehungen - mit Joachim Stalph, Philipp Spreer und Dimitrios Haratsis",aus-e-commerce-wird-r-commerce,62446457cab48b4f642519ed,660bb8033ca25b47e66b94d4,Tue Apr 02 2024 07:47:15 GMT+0000 (Coordinated Universal Time),Wed Apr 03 2024 06:32:11 GMT+0000 (Coordinated Universal Time),Wed Apr 03 2024 06:32:11 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,philipp-spreer; dimitrios-haratsis; joachim-stalph,"Joachim Stalph, Philipp Spreer und Dimitrios Haratsis decken auf, wie sich R-Commerce von herkömmlichen Verkaufsstrategien unterscheidet.",https://audio.transistor.fm/m/shows/28592/75dc680d90ec1cea725475e66758d4c3.mp3?download=aus-e-commerce-wird-r-commerce-digitaler-erfolg-durch-nachhaltige-kundenbeziehungen-mit-joachim-stalph-philipp-spreer-und-dimitrios-haratsis,Wed Apr 03 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,38,false,false,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/660bb7ccafec542fe3cee96d_CRO-CAFE_%2338_Banner.jpg,"<p id="""">In unserer neuesten Episode tauchen wir tief in die Welt des Relationship Commerce (R-Commerce) ein. Ein Konzept, das sich vom traditionellen E-Commerce-Modell unterscheidet, indem es den Fokus auf den Aufbau nachhaltiger Kundenbeziehungen legt. Unsere Experten Joachim Stalph, Philipp Spreer und Dimitrios Haratsis decken auf, wie sich R-Commerce von herkömmlichen Verkaufsstrategien unterscheidet, wie es das Kauferlebnis für Endkunden revolutioniert und warum ein integrierter Ansatz aus Daten, Marketing-Technologie und Psychologie der Schlüssel zum Erfolg in der digitalisierten Handelswelt ist.</p><p id="""">Wenn ihr noch mehr in die Tiefe gehen möchtet, findet ihr hier das Buch zur Folge:</p><p id="""">R-Commerce, von Joachim Stalph, Philipp Spreer, Dimitrios Haratsis: <a href=""https://www.r-commerce.de/"" id=""""><strong id="""">https://www.r-commerce.de/</strong></a></p><p id="""">weitere Buchtipps: </p><ul id=""""><li id="""">""How Brands grow"" von Byron Sharp <a href=""https://www.amazon.de/-/en/Byron-Sharp/dp/0195573560"" id=""""><strong id="""">https://www.amazon.de/-/en/Byron-Sharp/dp/0195573560</strong></a></li><li id="""">""PsyConversion"" von Philipp Spreer <a href=""https://www.psyconversion.de/"" id=""""><strong id="""">https://www.psyconversion.de/</strong></a></li><li id="""">""Vertauensarchitektur"" von Dr. Eric Eller <a href=""https://www.vertrauensarchitektur.de/"" id=""""><strong id="""">https://www.vertrauensarchitektur.de/</strong></a></li><li id="""">Whitepaper “Enjoy your Cookies”: <a href=""https://www.elaboratum.de/news/whitepaper-cookie-banner-strategie-positive-emotionen-akzeptanz-steigern/"" id=""""><strong id="""">https://www.elaboratum.de/news/whitepaper-cookie-banner-strategie-positive-emotionen-akzeptanz-steigern/</strong></a></li></ul><p>‍</p>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/660bb7ccafec542fe3cee96d_CRO-CAFE_%2338_Banner.jpg,
Einblicke in die Conversion Rate und Funnel Optimierung - mit Sebastian Pilgram,einblicke-in-die-conversion-rate-und-funnel-optimierung-mit-sebastian-pilgram,62446457cab48b4f642519ed,65f85bdd1ed2115cfbd8c27c,Mon Mar 18 2024 15:21:01 GMT+0000 (Coordinated Universal Time),Thu Mar 21 2024 08:27:14 GMT+0000 (Coordinated Universal Time),Thu Mar 21 2024 08:27:18 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,sebastian-pilgram,"Sebastian Pilgram, Senior Conversion Manager, teilt sein Know-how zum Thema CRO, Funnel Optimierung und Datenanalysen.",https://audio.transistor.fm/m/shows/28592/97a9f9c8137e8dfc77a0dece8babb17f.mp3?download=einblicke-in-die-conversion-rate-und-funnel-optimierung-mit-sebastian-pilgram,Tue Mar 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,37,false,true,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65f85bac4f8dde4f9ab96b14_Sebastian%20Pilgram%20CRO.CAFE%20Deutsch.png,"<p id="""">Sebastian Pilgram, Senior Conversion Manager erzählt über seine jahrelange Erfahrung in der Conversion Optimierung und teilt seine persönliche Meinung, warum klassische Relaunch-Projekte nicht sinnvoll sind. Außerdem erfährst du, warum das Thema Copywriting gerade in der Conversion-Optimierung so relevant ist und wie du mit diesem unfairen Vorteil deine Webseitenbesucher verkaufspsychologisch von deinem Angebot überzeugen kannst.</p>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65f85bac4f8dde4f9ab96b14_Sebastian%20Pilgram%20CRO.CAFE%20Deutsch.png,
CRO-Uplift durch Testing bei Smarketer - mit Jonathan Heinze,cro-uplift-durch-testing-bei-smarketer-mit-jonathan-heinze,62446457cab48b4f642519ed,65e6a0e9ed437a244523bbdb,Tue Mar 05 2024 04:34:49 GMT+0000 (Coordinated Universal Time),Tue Mar 05 2024 07:34:21 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:35:34 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,jonathan-heinze,"Jonathan Heinze, Conversion Optimization Manager bei Smarketer erzählt, die grundlegenden Prinzipien, um die Conversion Rate zu steigern.",https://audio.transistor.fm/m/shows/28592/ff1eed4c727c5eac43bb49a54f574bc2.mp3?download=cro-uplift-durch-testing-bei-smarketer-mit-jonathan-heinze,Tue Mar 05 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,36,false,false,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65e6a039ab1cbdc690a63aec_Bildschirmfoto%202024-02-22%20um%2014.51.33.png,"<p id="""">Es gibt einige Methoden um die Conversion Rate deines Online-Shops nachhaltig zu steigern und gleichzeitig unnötige Kosten einzusparen. Jonathan Heinze, Conversion Optimization Manager bei Smarketer erzählt in dieser Folge, was die grundlegenden Prinzipien sind, um die Conversion Rate zu steigern, was es bei Google Ads zu beachten gibt, und ob man CRO und Google Ads kombinieren sollte. Außerdem teilt er seine Best Practices und seine liebsten Tools für CRO. </p><p id="""">Seine Empfehlungen:</p><ul id=""""><li id="""">Website Clientboost.com</li><li id="""">Conversion Snacks von Contentsquare</li><li id="""">Buch: W<em id="""">hy We Buy: The Science of Shopping</em> von Paco Underhill</li></ul>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65e6a039ab1cbdc690a63aec_Bildschirmfoto%202024-02-22%20um%2014.51.33.png,
LinkedIn-Anzeigen leicht gemacht - mit Kathleen Höller,linkedin-anzeigen-leicht-gemacht-mit-kathleen-holler,62446457cab48b4f642519ed,65d39c79cc367417cbdd4503,Mon Feb 19 2024 18:22:49 GMT+0000 (Coordinated Universal Time),Tue Feb 20 2024 08:00:01 GMT+0000 (Coordinated Universal Time),Tue Feb 20 2024 08:00:01 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,kathleen-holler,"Kathleen Höller teilt ihr Fachwissen im Bereich LinkedIn Ads und erklärt, worauf es genau ankommt und für welche Unternehmen das Thema relevant ist.",https://audio.transistor.fm/m/shows/28592/df3ff269615711df8c209a5f892f0ea4.mp3?download=linkedin-anzeigen-leicht-gemacht-mit-kathleen-holler,Tue Feb 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,35,false,true,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65d39be7729e2b3fc799fd67_Kathleen_CRO%20CAFE.png,"<p>Testing bei LinkedIn Ads bietet enormes Potenzial, um die Reichweite zu steigern und mehr Leads zu generieren. Kathleen Höller, Head of Marketing bei InnoOne, erzählt in dieser Folge, für wen LinkedIn Anzeigen sinnvoll sind, was für ein Budget man benötigt und wie man das Potenzial durch Testing ausschöpft. Außerdem teilt sie ihre Top-Tipps für den Einstieg in das Thema und was die häufigsten Fehler beim Testing sind.</p>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65d39be7729e2b3fc799fd67_Kathleen_CRO%20CAFE.png,
Getting to know your customers - with Conrad Omansky,getting-to-know-your-customers-with-conrad-omansky,62446457cab48b4f642519ed,65c0bc2deeb580591f9965a7,Mon Feb 05 2024 10:45:01 GMT+0000 (Coordinated Universal Time),Tue Feb 06 2024 08:30:01 GMT+0000 (Coordinated Universal Time),Mon Feb 19 2024 18:23:28 GMT+0000 (Coordinated Universal Time),michael-witzenleiter-yvonne-teufel,conrad-omansky,"Conrad Omansky talks about how to really get to know your customers, how to find out the right information and to analyze the data the correct way.",https://audio.transistor.fm/m/shows/28592/461ba543cfd78f56166afe8217c1b393.mp3?download=getting-to-know-your-customers-with-conrad-omansky,Tue Feb 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1,,34,false,true,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65c0b9a579c405ef54a976eb_Bildschirmfoto%202024-02-02%20um%2011.33.57.png,"<p id="""">The key to improving your business is to understand the customers. In this episode, Conrad Omansky, CEO and Founder of the Omansky Group, tells us why qualitative and quantitative data are so important to optimize the website and how to find the right information. Besides that, he tells us the best ways to analyze the data and his best user interview tips.<br><br><strong id="""">Book &amp; Blog recommendations: &nbsp;</strong></p><ul id=""""><li id="""">The 9 American Lifestyles by Arnold Mitchell, 1983</li><li id="""">The Honest Broker</li></ul><p id="""">------<br><br>Der Schlüssel zur Verbesserung des Unternehmens ist es, Kunden richtig kennenzulernen und zu verstehen. In dieser Folge erklärt Conrad Omansky, CEO und Gründer der Omansky Group, warum qualitative und quantitative Daten so wichtig für die Optimierung der Website sind und wie man die richtigen Informationen findet. Außerdem verrät er uns, wie man die Daten am besten analysiert und gibt seine Tipps für Nutzer-Interviews. <br><br></p><p id=""""><strong id="""">Buch- &amp; Blogempfehlungen: &nbsp;</strong></p><ul id=""""><li id="""">Die 9 amerikanischen Lebensstile von Arnold Mitchell, 1983</li><li id="""">The Honest Broker</li></ul><p>‍</p>",,,,2025-01-10T20:38:14.600Z,0,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65c0b9a579c405ef54a976eb_Bildschirmfoto%202024-02-02%20um%2011.33.57.png,
