Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Julian Kleinknecht ,julian-kleinknecht,62446457cab48b6e162519fa,673c64e88e43767f6d365420,Tue Nov 19 2024 10:14:00 GMT+0000 (Coordinated Universal Time),Fri Nov 29 2024 09:50:25 GMT+0000 (Coordinated Universal Time),Fri Nov 29 2024 09:50:25 GMT+0000 (Coordinated Universal Time),false,ConversionBoosting GmbH,https://conversionboosting.com/,Co-Founder und Geschäftsführer,https://cdn.prod.website-files.com/62446457cab48b69bf25195e/673cb7ea4d40c1a68b9a30c4_200x200%20(1).jpg,,,https://www.linkedin.com/in/jkleinknecht/,false
René Gilster,rene-gilster,62446457cab48b6e162519fa,66961c7b8b177bc673ea785b,Tue Jul 16 2024 07:08:43 GMT+0000 (Coordinated Universal Time),Tue Jul 16 2024 07:12:20 GMT+0000 (Coordinated Universal Time),Tue Jul 16 2024 07:12:20 GMT+0000 (Coordinated Universal Time),false,konversionsKRAFT AG,https://www.konversionskraft.de/,Principal Behavioral Sciences & Head of Data Sciences,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/66961c9f7a7e67d2ab5be6b4_rene-gilster.png,,,https://www.linkedin.com/in/renegilster/,true
Niklas Bräutigam,niklas-brautigam,62446457cab48b6e162519fa,6628f204ffbd51143c53f4a4,Wed Apr 24 2024 11:50:28 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 13:00:46 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 13:00:46 GMT+0000 (Coordinated Universal Time),true,Conversion Stash,https://www.conversion-stash.com/,Co-Founder,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6628c041747cbc4cb4cdca25_Profilbild%20_%20Bra%CC%88utigam.jpeg,,,https://www.linkedin.com/in/niklas-braeutigam/,false
Janina Schwill,janina-schwill,62446457cab48b6e162519fa,665f0eb3d18ecd0328d68975,Tue Jun 04 2024 12:55:15 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 12:58:14 GMT+0000 (Coordinated Universal Time),Tue Jun 04 2024 12:58:14 GMT+0000 (Coordinated Universal Time),false,congstar GmbH,https://www.congstar.de/,Senior Managerin im digitalen Kundenerlebnis,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/665f0f42a816ade6f38617a2_Janina%20Schwill.jpg,,,https://www.linkedin.com/in/janina-schwill/,true
Joachim Stalph,joachim-stalph,62446457cab48b6e162519fa,66058eb97a2fe6063362bd40,Thu Mar 28 2024 15:37:29 GMT+0000 (Coordinated Universal Time),Wed Apr 24 2024 08:11:29 GMT+0000 (Coordinated Universal Time),Wed Apr 24 2024 11:50:32 GMT+0000 (Coordinated Universal Time),false,Elaboratum,https://www.elaboratum.de/,Managing Partner,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/66058e9c31bc578f3d735ba1_1681290310048.jpeg,,,https://www.linkedin.com/in/stalph/,false
Dimitrios Haratsis,dimitrios-haratsis,62446457cab48b6e162519fa,660590115928f1209560b7ff,Thu Mar 28 2024 15:43:13 GMT+0000 (Coordinated Universal Time),Wed Apr 24 2024 08:11:22 GMT+0000 (Coordinated Universal Time),Wed Apr 24 2024 11:50:32 GMT+0000 (Coordinated Universal Time),false,Elaboratum,https://www.elaboratum.de/,Associate Partner,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/66058f564b27baf4d7771abc_1517443702764.jpeg,,,https://www.linkedin.com/in/dimitrios-haratsis-a9a26027/,false
Sebastian Pilgram,sebastian-pilgram,62446457cab48b6e162519fa,65f8513151839caf052f86fa,Mon Mar 18 2024 14:35:29 GMT+0000 (Coordinated Universal Time),Thu Mar 28 2024 15:43:20 GMT+0000 (Coordinated Universal Time),Thu Mar 28 2024 15:43:24 GMT+0000 (Coordinated Universal Time),false,.,,Senior Conversion Manager,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65f85124799ec2d0f33373aa_sebastian-p.png,,,https://www.linkedin.com/in/sebastian-p-a16141115/,false
Kathleen Höller,kathleen-holler,62446457cab48b6e162519fa,65a4ffc4ddfb6c66e3683a63,Mon Jan 15 2024 09:49:56 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:32:50 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:35:34 GMT+0000 (Coordinated Universal Time),false,InnoONE,https://inno-one.de/b2b-marketing,Head of Marketing,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65a4ffb89c10371450d51a3d_Kathleen%20Ho%CC%88ller.JPG,,,https://www.linkedin.com/in/kathleen-h%C3%B6ller/,false
Jonathan Heinze,jonathan-heinze,62446457cab48b6e162519fa,65a500d830da651787581fc9,Mon Jan 15 2024 09:54:32 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:32:45 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:35:34 GMT+0000 (Coordinated Universal Time),false,Smarketer GmbH,https://www.smarketer.de/,Conversion Optimization Manager,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65a500cd5bcd19a0996f775d_Jonathan._1jpeg.jpg,,,https://www.linkedin.com/in/jonathan-heinze-b6647021a/,false
Philipp Becker,philipp-becker,62446457cab48b6e162519fa,65a7c4d8d2e68704e7e57101,Wed Jan 17 2024 12:15:20 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:32:28 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:35:34 GMT+0000 (Coordinated Universal Time),true,HubSpot,https://www.hubspot.de/,Senior CRO Marketing Manager,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65a7c4a143d15f2324b51447_Profilbild_Philipp_Becker.jpg,,,https://www.linkedin.com/in/becker-philipp/,false
Conrad Omansky,conrad-omansky,62446457cab48b6e162519fa,65af970142dfbf683c110ad9,Tue Jan 23 2024 10:37:53 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:32:23 GMT+0000 (Coordinated Universal Time),Mon Mar 18 2024 14:35:34 GMT+0000 (Coordinated Universal Time),false,Omansky Group,https://omanskygroup.com/leistungen/,Co-Founder,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/65af9697fc1c5629c4fefb25_Conrad%20Omansky%2C%20Omansky%20Group%20Kopie.jpg,,,https://www.linkedin.com/in/conrad-omansky-156a2/,false
Jakob Gerzen,jakob-gerzen,62446457cab48b6e162519fa,647f2b3ce6ff1bc0cf9748c1,Tue Jun 06 2023 12:49:00 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:04:22 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:05:16 GMT+0000 (Coordinated Universal Time),false,More Conversions GmbH,https://more-conversions.com/,CEO,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/647f2b0de11b89f1f7b5bd8a_Jakob-Gerzen%20(4).jpg,,,https://www.linkedin.com/in/jakob-gerzen-5a3578120/,false
Nicolas Schwenger,nicolas-schwenger,62446457cab48b6e162519fa,637c7ccc34ff7f5380703b04,Tue Nov 22 2022 07:39:56 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:04:56 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:05:16 GMT+0000 (Coordinated Universal Time),false,Marc O'Polo AG,,Junior Manager Conversion Rate Optimization,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/637c7c41b805f87c197b3da2_headshot_2.jpeg,,,https://www.linkedin.com/in/nicolas-schwenger/,false
Alan Frei,alan-frei,62446457cab48b6e162519fa,63d123fe31434f327d698ece,Wed Jan 25 2023 12:43:42 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:37 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,Lovehoney Group,,CMO Amorana,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63d7a102cb3b175367848c9c_Alan%2BFrei%20Kopie.jpg,https://www.alanfrei.com/,,https://www.linkedin.com/in/alanfrei/,false
Amelie Albers,amelie-albers,62446457cab48b6e162519fa,65367287c83794b87d26a3dc,Mon Oct 23 2023 13:17:59 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:02 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,BabyOne,https://www.babyone.de/, E-Commerce Managerin,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6536727db7609815dcdf9e1a_Amelie_Quadrat.jpg,,,https://www.linkedin.com/in/amelie-albers/,false
Astrid Junghans,astrid-junghans,62446457cab48b6e162519fa,652cf7ab43ed2e1c2a5c6ffd,Mon Oct 16 2023 08:43:23 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:08 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,elaboratum GmbH,https://www.elaboratum.de/,Managing Consultant,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6544f2d6d132d0d988d9c7f6_image007.jpg,,,https://www.linkedin.com/in/astridjunghans/,false
