Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Ainara Simón,ainara-simon,5faaf2006f511ce18c933cc8,6137c0a5314ff236fa5afe2f,Tue Sep 07 2021 19:42:29 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 19:42:29 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 19:42:40 GMT+0000 (Coordinated Universal Time),true,Bobochoses,https://www.bobochoses.com/,CDO,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/6137c0832440de2ee2bdad91_ainara_simon_delasheras-BN.jpg,,,https://www.linkedin.com/in/ainara-sim%C3%B3n-8a336832/,false
Aleyda Solis,aleyda-solis,5faaf2006f511ce18c933cc8,6075f80457add00f2f6471d0,Tue Apr 13 2021 19:59:00 GMT+0000 (Coordinated Universal Time),Tue Apr 13 2021 19:59:00 GMT+0000 (Coordinated Universal Time),Tue Apr 13 2021 19:59:38 GMT+0000 (Coordinated Universal Time),true,Orainti,https://www.orainti.com/,CEO,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/6075f74e6238c1b8d3dd1bf9_aleyda-solis-bn.jpg,,https://twitter.com/aleyda,https://www.linkedin.com/in/aleyda/,false
Ana Soplón,ana-soplon,5faaf2006f511ce18c933cc8,61e73d5f9221a786b1affa34,Tue Jan 18 2022 22:21:19 GMT+0000 (Coordinated Universal Time),Tue Jan 18 2022 22:21:19 GMT+0000 (Coordinated Universal Time),Tue Jan 18 2022 22:21:28 GMT+0000 (Coordinated Universal Time),false,Santander,https://www.bancosantander.es/,Digital Marketing Analyst,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/61e73cfadec9430bf4740796_Ana-Soplon-200x200BN.jpg,,https://twitter.com/ana_soplon,https://www.linkedin.com/in/anasoplon/,false
Anita Cufari,anita-cufari,5faaf2006f511ce18c933cc8,6202ccdf698df243d9cfd0c5,Tue Feb 08 2022 20:04:47 GMT+0000 (Coordinated Universal Time),Tue Feb 08 2022 20:04:47 GMT+0000 (Coordinated Universal Time),Tue Feb 08 2022 20:05:56 GMT+0000 (Coordinated Universal Time),false,Anita Ideas,https://www.anitaideas.com/,CEO,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/6202ccc500fdb5bb0a5db23f_anita-cufari-200.jpg,,https://twitter.com/anitaideas,https://www.linkedin.com/in/anitaalvarezcufari/,false
Arantxa Hernández,arantxa-hernandez,5faaf2006f511ce18c933cc8,620c115181d8496e862bb1c6,Tue Feb 15 2022 20:47:13 GMT+0000 (Coordinated Universal Time),Tue Feb 15 2022 20:47:13 GMT+0000 (Coordinated Universal Time),Tue Feb 15 2022 20:47:28 GMT+0000 (Coordinated Universal Time),false,UOC,https://www.uoc.edu/portal/es/index.html,UX Lead y UX Project Manager del Programa de Docencia del Área de Tecnología de la UOC,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/620c10f8f9547d1bf5795db7_arantxa-hernandez-200.png,http://cottonfields.es/,https://twitter.com/cottonfieldsbcn,https://www.linkedin.com/in/cottonfields/,false
Cecilia Rodríguez,cecilia-rodriguez,5faaf2006f511ce18c933cc8,5ffa1f9548a6df7fe0f6e87d,Sat Jan 09 2021 21:26:45 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:03 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:03 GMT+0000 (Coordinated Universal Time),true,Proyectario,https://www.proyectario.com/,Coach ontológica y Directora creativa,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf05b0ed19943cf952086_cecilia-rodriguez.jpeg,,,https://www.linkedin.com/in/ceciliarod/,false
Cristian de la Maza,cristian-de-la-maza,5faaf2006f511ce18c933cc8,5ffa208d88e17389427ff205,Sat Jan 09 2021 21:30:53 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:53:54 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:53:54 GMT+0000 (Coordinated Universal Time),false,Convierta,https://convierta.cl/,Analítica Web y Optimización,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf10232e65d78d0456928_cristian-de-la-maza.jpeg,http://cristiandelamaza.cl/,https://twitter.com/cdelamaza,https://www.linkedin.com/in/cristiandelamaza/,true
Dani Solana,dani-solana,5faaf2006f511ce18c933cc8,61d4a86a56e62f79805da29a,Tue Jan 04 2022 20:04:58 GMT+0000 (Coordinated Universal Time),Tue Jan 04 2022 20:04:58 GMT+0000 (Coordinated Universal Time),Tue Jan 04 2022 20:05:05 GMT+0000 (Coordinated Universal Time),false,BBVA,https://www.bbva.es,Design Manager & Behavioural Design,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/61d4a84c880098a9c0b69ce1_dani-solana-200.png,,https://twitter.com/daniel_solana,https://www.linkedin.com/in/dani-solana/,true
David Alayón,david-alayon,5faaf2006f511ce18c933cc8,6296a49c4ef48c2830859801,Tue May 31 2022 23:28:28 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 23:28:28 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 23:28:35 GMT+0000 (Coordinated Universal Time),false,Innuba,https://innuba.com/,Co-Founder,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/6296a4784ef48cf409858fb7_DavidAlayon-400x400.jpeg,https://davidalayon.com/,https://twitter.com/DavidAlayon,https://www.linkedin.com/in/davidalayon/,false
Hazmeunafotoasi,hazmeunafotoasi,5faaf2006f511ce18c933cc8,60ad012d48a9991a2118f358,Tue May 25 2021 13:52:45 GMT+0000 (Coordinated Universal Time),Tue May 25 2021 13:52:45 GMT+0000 (Coordinated Universal Time),Tue May 25 2021 13:52:52 GMT+0000 (Coordinated Universal Time),false,Hazmeunafotoasi,https://www.instagram.com/hazmeunafotoasi/,Creadora Digital,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/60ad01226043d80ee855a646_hazmeunafotoasi200.jpg,https://www.instagram.com/hazmeunafotoasi/,,,true
