Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL
Apple Podcasts,itunes,5faaf2006f511c10ef933cca,5faaf2006f511c47ab933e5f,Thu Mar 07 2019 16:56:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:01 GMT+0000 (Coordinated Universal Time),1,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1f580e3813b3004a859_5d20613ffce0e3f9cf8bf68c_apple-podcast_3943de2efc2a368c4f2861af2fcd5cc9.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1f9033eb09156554846_apple-podcast-icon.png,https://podcasts.apple.com/nl/podcast/cro-cafe-español/id1543792857
Spotify,spotify,5faaf2006f511c10ef933cca,5faaf2006f511c52bd933e62,Thu Mar 07 2019 16:57:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:52 GMT+0000 (Coordinated Universal Time),2,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1ebcb9e044cf8b5431a_5be2e7adafdcd72247118cd1_spotify-32.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1f021caad661713e9e2_spotify-icon.png,https://open.spotify.com/show/4x6PY0PeoxoR8hgOSZwVBF
Stitcher,stitcher,5faaf2006f511c10ef933cca,5faaf2006f511c8554933e5d,Thu Mar 07 2019 16:57:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:33 GMT+0000 (Coordinated Universal Time),9,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1d806f6362344276068_5c842d163645871610fd986c_5c33eda3ee3329501ac53a77__178f8b9c01c01203e33dc0640da77d6d.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1ddef825fb1eb9da71d_stitcher-icon.png,https://www.stitcher.com/show/crocafe-espanol
Pocket Casts,pocket-casts,5faaf2006f511c10ef933cca,5faaf2006f511c85a0933e5e,Thu Mar 07 2019 16:58:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:23 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1ced3fe2a67161141f9_5c33ec7e8914d6645aac03a1_pc2.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1d306f6367c0a275d0b_pocket-casts-logo.png,https://pca.st/zcdzoscc
Overcast,overcast,5faaf2006f511c10ef933cca,5faaf2006f511c02ac933e3d,Thu Mar 07 2019 17:28:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:13 GMT+0000 (Coordinated Universal Time),5,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1c306f6361b2b274e4c_overcast-icon.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1c9cd0641d5d67f2d0a_overcast-icon.png,https://overcast.fm/itunes1543792857/cro-cafe-espa-ol
Castbox,castbox,5faaf2006f511c10ef933cca,5faaf2006f511c5494933e60,Thu Mar 07 2019 17:31:49 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:03 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:57:03 GMT+0000 (Coordinated Universal Time),4,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1bacf07a476d6c752f0_castbox.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1bfa7509870f46acc37_castbox-icon.png,https://castbox.fm/channel/id3596549
TuneIn,tunein,5faaf2006f511c10ef933cca,5faaf2006f511c112a933e7a,Thu Mar 21 2019 18:51:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:54 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:54 GMT+0000 (Coordinated Universal Time),13,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1b1ffb51828e96a4092_tunein-icon.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1b69f8197443f79f6bc_tunein-icon.png,https://tunein.com/podcasts/Technology-Podcasts/CROCAFE-Espanol-p1388901/
Breaker,breaker,5faaf2006f511c10ef933cca,5faaf2006f511cadc3933ea8,Tue Jun 25 2019 19:39:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:44 GMT+0000 (Coordinated Universal Time),10,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1a787e343decf6b6686_5d12794811126037b1c25235_breaker-icon_cdb0bf6f90ac865b9728e23a741d19f4.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1aca66f39856bad5878_breaker-icon.png,https://www.breaker.audio/cro-dot-cafe-espanol
RadioPublic,radiopublic,5faaf2006f511c10ef933cca,5faaf2006f511c672d933ea9,Tue Jun 25 2019 19:45:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:35 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:35 GMT+0000 (Coordinated Universal Time),14,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf19d21caad592913c0f1_5d1285df7a7a1aee04f177a4_radiopublic-flag-white_40_ea70e4837c658e6615411aa30d0c1fd3.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1a233bbb6c5618afd25_radiopublic-icon.png,https://radiopublic.com/crocafe-espaol-GZavyJ
RSS,rss,5faaf2006f511c10ef933cca,5faaf2006f511c0842933eaa,Tue Jun 25 2019 21:29:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:24 GMT+0000 (Coordinated Universal Time),99,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1932d63965cf38efbf2_5d12923e7a7a1ab4e4f1dc06_rss-icon_49830f5c3785a21ecb580f540ba59cbf.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf198e7f34ed29fc4593f_rss-icon.png,https://feeds.transistor.fm/cro-cafe-es
