Name & SERP Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Intro & SERP Meta Description,directmp3link,Publication date,Season,Episode ID - short,Overall episode number,Bonus episode?,Main image,Shownotes/ extra info,Youtube Embed code,All guests (incl main guest),Transcript,Featured (popular),Transistor Embed code (depricated)
Het meetbaar maken van CRO / UX,het-meetbaar-maken-van-cro-ux,5ff1e0549f67bfb619bb022e,60cc76c801a3d87ba4829958,Fri Jun 18 2021 10:34:48 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 10:52:35 GMT+0000 (Coordinated Universal Time),Fri Jan 28 2022 07:58:40 GMT+0000 (Coordinated Universal Time),Samen met Sjoerd Walinga praat ik over het hoe en waarom van het meetbaar maken van je CRO process en hoe dat jouw dagelijks werk als CROer makkelijker maakt,https://cdn.transistor.fm/file/transistor/m/shows/16113/d74e92ebf707b8b813957182b90dd3bc.mp3,Fri Jun 18 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,8,100,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/60cc77819927384c8d342d7f_michal-mrozek-0aqJNZ5tVBc-unsplash.jpg,"<ul><li><a href=""https://en.wikipedia.org/wiki/SMART_criteria"" target=""_blank"">SMART Goals</a></li><li><a href=""https://www.klipfolio.com/"" target=""_blank"">Klipfolio</a></li><li><a href=""https://www.geckoboard.com/"" target=""_blank"">Geckoboard</a></li><li><a href=""https://usabilla.com/blog/measure-cx-performance-looking-beyond-the-nps-score/"" target=""_blank"">Usabilla Digital Customer Experience pyramid</a></li><li><a href=""https://go.forrester.com/research/cx-index/"" target=""_blank"">Forrester’s CX index score</a></li></ul><p><strong><em>KPI's voor UX</em></strong></p><p>Behavioral KPI’s</p><ul><li><em>Task Success Rate</em></li><li><em>Average Task Time</em></li><li><em>Task Level Satisfaction</em></li><li><em>User Error Rate</em></li><li><em>Search vs. Navigation</em></li><li><em>Form Completion Rate</em></li></ul><p>Attitudinal KPI’s</p><ul><li><em>Net Promoter Score (NPS)</em></li><li><em>Customer Satisfaction (CSAT)</em></li><li><em>Customer Effort Score (CES)</em></li><li><em>System Usability Scale (SUS)</em></li><li><em>Goal Completion Rate (GCR)</em></li></ul><p>‍</p>",,sjoerd-walinga,,false,
Case VodafoneZiggo: Copy vs. No copy,case-vodafoneziggo-copy-vs-no-copy,5ff1e0549f67bfb619bb022e,607b1f5a3c41af76d61578b4,Sat Apr 17 2021 17:48:10 GMT+0000 (Coordinated Universal Time),Tue Apr 20 2021 13:20:36 GMT+0000 (Coordinated Universal Time),Tue Apr 20 2021 14:48:46 GMT+0000 (Coordinated Universal Time),Leer van de CRO Awards nieuwsbrief test van VodafoneZiggo waarbij het effect van de hoeveelheid copy op de CTR en engagement werd geoptimaliseerd.,https://chrt.fm/track/D992D/media.transistor.fm/aed7b022/2f4c0def.mp3,Mon Apr 19 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,7,99,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/607ed4ebf8254c50ddf8b1fb_DDMA-430x356.jpg,"<ul><li><a href=""https://dutchcroawards.nl/vodafoneziggo-iv/""><em>Copy vs No-copy: https://dutchcroawards.nl/vodafoneziggo-iv/</em></a><a href=""https://dutchcroawards.nl/vodafoneziggo-iii/""><em>‍</em></a></li><li><a href=""https://dutchcroawards.nl/vodafoneziggo-iii/""><em>QR-code in Direct Mail A/B test:&nbsp;https://dutchcroawards.nl/vodafoneziggo-iii/</em></a><em> </em></li></ul>",,marijke-van-spaendonck,,false,
Starten als CRO Freelancer,starten-als-cro-freelancer,5ff1e0549f67bfb619bb022e,607817af163ba8e3c78ac9d1,Thu Apr 15 2021 10:38:39 GMT+0000 (Coordinated Universal Time),Thu Apr 15 2021 10:38:51 GMT+0000 (Coordinated Universal Time),Fri Apr 16 2021 12:19:47 GMT+0000 (Coordinated Universal Time),Van ervaringsdeskundige Wesley Singh leren we hoe je (ook nu) een carrière als CRO freelancer kan starten.,https://chrt.fm/track/D992D/media.transistor.fm/30c41b54/d0c5f36e.mp3,Thu Apr 15 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,6,98,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/607817ac7a4adfe89d607dac_per-loov-4wOkqiXNP7M-unsplash.jpg,"<ul><li><a href=""https://wesleysingh.nl/"">WesleySingh.nl</a></li></ul>",,wesley-singh,,false,
"Case: 3 woorden, +3% conversie, + €3M omzet",case-3-woorden-3-conversie-eu3m-omzet,5ff1e0549f67bfb619bb022e,605c5ff59e8eabd80cae9e90,Thu Mar 25 2021 10:03:33 GMT+0000 (Coordinated Universal Time),Thu Mar 25 2021 10:15:59 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 09:51:47 GMT+0000 (Coordinated Universal Time),"Leer hoe Intergamma m.b.v. Mopionion onderzoek uitvoerde, hoe 3 aangepaste woorden €3M extra omzet gaf en hoe ze daarmee de CRO Awards 2020 gewonnen hebben.",https://chrt.fm/track/D992D/media.transistor.fm/89b27fe6/8aa87748.mp3,Thu Mar 25 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,4,96,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/605c5d2915c4b2245493aa90_jelleke-vanooteghem-MohB4LCIPyM-unsplash.jpg,"<ul><li><a href=""https://mopinion.com/""><em>Mopinion.com</em></a></li><li><a href=""https://www.intergamma.nl/""><em>Intergamma.nl</em></a></li><li><a href=""https://dutchcroawards.nl/intergamma-i/""><em>Dutchcroawards.nl/intergamma-i</em></a></li><li><a href=""https://open.spotify.com/show/55ipkfCunIfbeH9qK3pIKn?si=fqNRpNY1TyKh_P8SxFMANQ""><em>Mopionion's 360 Digital podcast</em></a><a href=""https://www.binnl.nl/""><em>‍</em></a></li><li><a href=""https://www.binnl.nl/""><em>Binnl.nl</em></a><em> </em></li></ul>",,erik-van-houwelingen; quirijn,,false,
Personalisatie: werk van grof naar fijn,personalisatie-werk-van-grof-naar-fijn,5ff1e0549f67bfb619bb022e,606d7f2305023878ac175c40,Wed Apr 07 2021 09:45:07 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 09:48:10 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 09:51:47 GMT+0000 (Coordinated Universal Time),We leren van Jaap (WiQhit) wat bij hun klanten goed (en minder goed) werkt wanneer ze aan de slag gaan met personaliseren. ,https://chrt.fm/track/D992D/media.transistor.fm/f1a909f3/3d710b6c.mp3,Wed Apr 07 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,5,97,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/606d7f1998cbd1def133f676_john-mark-arnold-WItJTJsW97w-unsplash.jpg,"<ul><li><a href=""https://wiqhit.com/"" target=""_blank"">WiQhit</a></li></ul>",,jaap-van-baar,,false,
Van losse CRO initiatieven naar gebundelde krachten bij Tele2,van-losse-cro-initiatieven-naar-gebundelde-krachten,5ff1e0549f67bfb619bb022e,604e8f7c791e7d54f0caf3f4,Sun Mar 14 2021 22:34:36 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 23:07:54 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 23:29:46 GMT+0000 (Coordinated Universal Time),We leren hoe Tele2 stappen heeft gezet om losse CRO initiatieven te coördineren en te integreren in de organisatie,https://chtbl.com/track/D992D/media.transistor.fm/fc5da4e5/54cae9a7.mp3,Mon Mar 15 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,3,95,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604e8b10e1d753635e1023c4_leon-NYMJYXfZG-g-unsplash.jpg,<p>We leren hoe T-mobile stappen heeft gezet om losse CRO initiatieven te coördineren en te integreren in de organisatie</p>,,rob-harkink,,false,
Samenwerking tussen agencies en opdrachtgevers,samenwerking-tussen-agencies-en-opdrachtgevers,5ff1e0549f67bfb619bb022e,6038c395977bde1cab03f77a,Fri Feb 26 2021 09:47:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:50:58 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 22:39:58 GMT+0000 (Coordinated Universal Time),Vandaag leren we - vanuit het perspectief van een online burea - hoe we de samenwerking tussen agencies en opdrachtgevers kunnen verbeteren.,https://chtbl.com/track/D992D/media.transistor.fm/38de3bc1/814f50fa.mp3,Fri Feb 26 2021 00:00:00 GMT+0000 (Coordinated Universal Time),3,2,94,false,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf05133bbb6515789fe00_docusign-HEOMIp2FXKE-unsplash.jpeg,"<ul><li><a href=""https://www.bol.com/nl/f/the-coaching-habit/9200000056168524/"">The Coaching Habit van Michael Bungay</a></li></ul>",,alen-sirovica,,false,
Introductie CRO.CAFE,introductie,5ff1e0549f67bfb619bb022e,5ff1e0549f67bf696fbb0372,Wed Mar 06 2019 19:30:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:04:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:04:01 GMT+0000 (Coordinated Universal Time),Teaser aflevering met een korte introductie over wat je kan verwachten in de aankomende CRO.CAFÉ podcast afleveringen!,https://chtbl.com/track/D992D/media.transistor.fm/57cddf38.mp3,Thu Nov 08 2018 00:00:00 GMT+0000 (Coordinated Universal Time),1,0,1,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf3610398555635667461_logo-3-small.jpeg,"<p>Je abonneren op de podcast kan o.a. via...</p><ul><li><a href=""https://open.spotify.com/show/5TrJo8SegrE2haCeMDLB3M"" target=""_blank"" data-rt-link-type=""external"">Spotify</a></li><li><a href=""https://itunes.apple.com/nl/podcast/cro-caf%C3%A9/id1441653737"" target=""_blank"" data-rt-link-type=""external"">iTunes</a></li><li><a data-rt-link-type=""external"" href=""#"">Google Podcasts</a></li><li><a href=""https://soundcloud.com/crocafe"" target=""_blank"" data-rt-link-type=""external"">Soundcloud</a></li></ul>",,,,,67cb8eb4
Conversie optimalisatie bij Transavia,helene-hallebeek-over-cro-bij-transavia,5ff1e0549f67bfb619bb022e,5ff1e0549f67bfcceebb0373,Wed Mar 06 2019 19:37:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:03:56 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:03:56 GMT+0000 (Coordinated Universal Time),Wat waren de winnende én verliezende cases die Transavia ingediend had voor de CRO Awards en wat hebben ze daar mee gedaan?,https://chtbl.com/track/D992D/media.transistor.fm/47b8016e/fadd41c3.mp3,Mon Jan 07 2019 00:00:00 GMT+0000 (Coordinated Universal Time),1,1,2,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf35c2d6396a5a09106f7_DwYF7tNXcAAYeHY.jpeg,"<ul><li><a href=""https://ddma.nl/actueel/cro-case-pitch-transavia-conversion-tests-transavia/"" target=""_blank"" data-rt-link-type=""external"">Conversion pitch slides</a></li><li><a href=""https://ddma.nl/actueel/cro-case-pitch-transavia-personalisation-transavia/"" target=""_blank"" data-rt-link-type=""external"">Peronalization pitch slides</a></li><li><a href=""https://www.luchtvaartnieuws.nl/nieuws/categorie/2/airlines/transavia-onthult-peter-pan-toestel"" target=""_blank"" data-rt-link-type=""external"">PeterPan vliegtuig</a></li><li><a href=""https://www.shoppingtomorrow.nl/themas/marketing/conversion/revenue-optimization-2018-2019"" target=""_blank"" data-rt-link-type=""external"">ShoppingTomorrow</a></li><li><a href=""https://jobs.transavia.com/nl-NL/home/"" target=""_blank"" data-rt-link-type=""external"">Transavia vacatures</a></li></ul><p>‍</p>",,helene-hallebeek,,false,de63279b
Digitale slecht-nieuws gesprekken: het Escalatie Preventie Model (deel 1),digitale-slecht-nieuws-gesprekken-het-escalatie-preventie-model,5ff1e0549f67bfb619bb022e,5ff1e0549f67bf704bbb037a,Wed Mar 06 2019 19:46:57 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:03:50 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:03:50 GMT+0000 (Coordinated Universal Time),Hoe pak je digitale/massale slecht-nieuws gesprekken aan? Na een intro over gedragsbeïnvloeding bij o.a. luchthavens praten we er over met Mischa Coster!,https://chtbl.com/track/D992D/media.transistor.fm/34cae432.mp3,Mon Jan 14 2019 00:00:00 GMT+0000 (Coordinated Universal Time),1,2,3,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf21906f63632222797de_Dw2seZNX0AA4VxW.jpeg,"<p>Mischa heeft in samenwerking met enkele andere specialisten een Escalatie Preventie Model ontwikkeld en al bij verschillende projecten toegepast. Hij legt in de podcast uit wat het recept is dat je kan volgen om ook jouw (e-mail) communicatie rondom ""slechte nieuws"" te verbeteren. We bespreken o.a. de toepassing van het model bij een telecomprovider en bij de nieuwe ""aflossingsblij"" campagne rondom de aflossingsvrije hypotheken.</p><ul><li><a href=""https://www.aflossingsblij.nl/"" target=""_blank"">‍<strong>‍</strong>aflossingsblij.nl</a></li><li><a href=""http://guideology.nl"" target=""_blank"">guideology.nl</a></li><li>Mischa's boek: <a href=""https://partner.bol.com/click/click?p=1&t=url&s=60494&f=TXL&url=https%3A%2F%2Fwww.bol.com%2Fnl%2Fp%2Fzeg-het-met-emoji%2F9200000071290529%2F&name=emoji"" target=""_blank"">Zeg het met emoji</a></li><li><a href=""http://psynip.nl/secties/sociale-economische-psychologie"" target=""_blank"">Psynip sectie Sociale en Economische Psychologie</a></li><li><a href=""http://www.greymatters.nl/2017/08/07/focus-op-klantbehoud-het-escalatie-preventie-model/"" target=""_blank"">Greymatters: Het escalatie preventie model</a></li><li><a href=""https://customerfirst.nl/achtergronden/2018/03/empathie-praktijk-het-escalatie-preventie-model/index.xml"" target=""_blank"">Empathie in de praktijk; het escalatie preventie model</a></li><li><a href=""https://www.gui.do/post/hyperbolic-discounting"" target=""_blank"">Hyperbolic discounting</a></li><li><a href=""http://gui.do/post/loss-aversion"" target=""_blank"">Loss aversion</a></li><li><a href=""http://gui.do/post/product-series"" target=""_blank"">Set completion</a></li><li><a href=""http://www.hbs.edu/faculty/Pages/item.aspx?num=40158"" target=""_blank"">Labour illusion</a></li><li><a href=""https://www.psychologistworld.com/memory/zeigarnik-effect-interruptions-memory"" target=""_blank"">Zeigarnik effect</a></li><li><a href=""https://medium.com/@mcoster/the-chief-psychology-officer-b458d6a751ba"" target=""_blank"">The rise of the CPO: the Chief Psychology Officer</a></li><li><a href=""https://marketingfacts.nl/berichten/de-opkomst-van-de-cpo-de-chief-psychology-officer"" target=""_blank"">De opkomst van de chief psychology officer</a></li></ul><p>We praten - na een intro over gedragsbeïnvloeding bij o.a. luchthavens en telecomproviders, de nieuwe sectie Sociale en Economische Psychologie van het NIP en Mischa's nieuwe boek - over hoe je digitale/massale slecht-nieuws gesprekken aanpakt.</p><p>‍</p>",,mischa-coster,,,1979db5c
