Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL
Apple Podcasts,itunes,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfdf96bb038d,Thu Mar 07 2019 16:56:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:17 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:17 GMT+0000 (Coordinated Universal Time),1,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9c0ef825f2e98a40d51_5d20613ffce0e3f9cf8bf68c_apple-podcast_3943de2efc2a368c4f2861af2fcd5cc9.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9c5cd0641f920827f05_apple-podcast-icon.png,https://podcasts.apple.com/nl/podcast/cro-cafe-nederlands/id1544626706?l=en
Spotify,spotify,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf1895bb038f,Thu Mar 07 2019 16:57:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:02 GMT+0000 (Coordinated Universal Time),2,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9b109f6bb9bb5930894_5be2e7adafdcd72247118cd1_spotify-32.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9b632e65d009d487e7c_spotify-icon.png,https://open.spotify.com/show/2LwkAHzzFB19pNIgtL4fBs
Stitcher,stitcher,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf3768bb038b,Thu Mar 07 2019 16:57:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:42 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:42 GMT+0000 (Coordinated Universal Time),9,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf99d3526e982fb6b8191_5c842d163645871610fd986c_5c33eda3ee3329501ac53a77__178f8b9c01c01203e33dc0640da77d6d.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9a2c269ef23aa320426_stitcher-icon.png,https://www.stitcher.com/podcast/crocafe/crocafe-nederlands
Pocket Casts,pocket-casts,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfa108bb038c,Thu Mar 07 2019 16:58:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:32 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:32 GMT+0000 (Coordinated Universal Time),6,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf99387e34350937254fe_5c33ec7e8914d6645aac03a1_pc2.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf998034cfa62ec157b46_pocket-casts-logo.png,https://pca.st/kd47kkl1
Overcast,overcast,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf545cbb0388,Thu Mar 07 2019 17:28:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:22 GMT+0000 (Coordinated Universal Time),5,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf988039855ee296acfca_overcast-icon.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf98e0398556c306ad66d_overcast-icon.png,https://overcast.fm/itunes1544626706/cro-cafe-nederlands
Castbox,castbox,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfc580bb038e,Thu Mar 07 2019 17:31:49 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:12 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:12 GMT+0000 (Coordinated Universal Time),4,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf97e1a646b3fa4d158e8_castbox.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf98306f6367fe42f0a20_castbox-icon.png,https://castbox.fm/channel/CRO.CAFE-Nederlands-id3621742
TuneIn,tunein,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf4ba8bb03a8,Thu Mar 21 2019 18:51:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:01 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:01 GMT+0000 (Coordinated Universal Time),13,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9742c8e1215c62a1c9c_tunein-icon.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf979e7f34e0525c57bac_tunein-icon.png,https://tunein.com/podcasts/Business--Economics-Podcasts/CROCAFE-Nederlands-p1392841/
Breaker,breaker,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bffab2bb0490,Tue Jun 25 2019 19:39:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:51 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:51 GMT+0000 (Coordinated Universal Time),10,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf96bab967a2dc7037902_5d12794811126037b1c25235_breaker-icon_cdb0bf6f90ac865b9728e23a741d19f4.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf96fb6adc84a738a8703_breaker-icon.png,https://www.breaker.audio/cro-dot-cafe-nederlands
RadioPublic,radiopublic,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf068dbb0491,Tue Jun 25 2019 19:45:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:42 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:42 GMT+0000 (Coordinated Universal Time),14,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf961b498124aad13bb4b_5d1285df7a7a1aee04f177a4_radiopublic-flag-white_40_ea70e4837c658e6615411aa30d0c1fd3.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf96695f30439de1e6657_radiopublic-icon.png,https://radiopublic.com/crocafe-nederlands-WDKNVA
RSS,rss,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf53a6bb0492,Tue Jun 25 2019 21:29:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:33 GMT+0000 (Coordinated Universal Time),99,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf958b4da16bead28c478_5d12923e7a7a1ab4e4f1dc06_rss-icon_49830f5c3785a21ecb580f540ba59cbf.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf95d5ba340d5c991809a_rss-icon.png,https://nl.cro.cafe/podcast/rss.xml
