Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,female?,Type,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming,Book recommendations
Julia Rumpf,julia-rumpf,5f762516f490f5eca3d63977,666852ee7e6bc71fa6df2a20,Tue Jun 11 2024 13:36:46 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 13:51:35 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 13:51:35 GMT+0000 (Coordinated Universal Time),true,podcast-guest,false,konversionkraft,,Business Owner GMS,https://uploads-ssl.webflow.com/5be066740487be149c23be72/666852e0272af8edd28563f7_Julia%20Rumpf%20LinkedIn.jpeg,,,https://www.linkedin.com/in/julia-rumpf-74b77974/,false,
André Vieira,andre-vieira,5f762516f490f5eca3d63977,625ebc6428d36fdc175227af,Tue Apr 19 2022 13:43:00 GMT+0000 (Coordinated Universal Time),Sat Dec 31 2022 15:55:47 GMT+0000 (Coordinated Universal Time),Sat Dec 31 2022 15:55:47 GMT+0000 (Coordinated Universal Time),false,podcast-guest,false,Looptimiza,https://looptimize.com/,Senior Customer Journey Optimization Expert,https://uploads-ssl.webflow.com/5be066740487be149c23be72/625ebc39c1be915e8393bab1_andre.jpg,,https://twitter.com/HeyAndreVieira,https://www.linkedin.com/in/andrevieira1/,false,
Arnout Hellemans,arnout-hellemans,5f762516f490f5eca3d63977,5f762516f490f537ecd63a77,Sat Mar 09 2019 12:38:23 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 22:22:57 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 22:22:57 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Online Markethink,http://onlinemarkethink.com/,Owner,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe25b6adc8822d8cd237_arnout-hellemans.jpeg,,https://twitter.com/hellemans,https://nl.linkedin.com/in/arnouthellemans,false,
Matt Scaysbrook,matt-scaysbrook,5f762516f490f5eca3d63977,625ec0b3ffbcb1aa055305fb,Tue Apr 19 2022 14:01:23 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 22:19:25 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 22:19:25 GMT+0000 (Coordinated Universal Time),false,podcast-guest,false,WeTeachCRO,https://www.weteachcro.com/,Director of Optimisation,https://uploads-ssl.webflow.com/5be066740487be149c23be72/625ec0a55d0a7d5cf0967b25_matt.jpg,,,https://www.linkedin.com/in/mattscaysbrook/,false,
Shiva Manjunath,shiva-manjunath,5f762516f490f5eca3d63977,625eb8c3fbee5725b2afaf05,Tue Apr 19 2022 13:27:31 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 16:56:24 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 16:56:24 GMT+0000 (Coordinated Universal Time),false,podcast-guest,false,Speero,https://speero.com/,Senior Strategist,https://uploads-ssl.webflow.com/5be066740487be149c23be72/63af18340e332a1744a1b5bf_1637695558849.jpeg,,,,false,
Juliana Jackson,juliana-jackson,5f762516f490f5eca3d63977,60e20b57aff6163ef3318f83,Sun Jul 04 2021 19:26:15 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 13:20:09 GMT+0000 (Coordinated Universal Time),Fri Dec 30 2022 13:20:09 GMT+0000 (Coordinated Universal Time),true,podcast-guest,false,Media.Monks,https://media.monks.com/,Digital analytics architect ,https://uploads-ssl.webflow.com/5be066740487be149c23be72/60e20b13cfd884f87347f549_4187e42b498ece8d7b9b5b3a4a9b5937.jpeg,https://juliana-jackson.com/,https://twitter.com/theclvlady,https://www.linkedin.com/in/theclvlady,false,
Colin Crowell,colin-crowell,5f762516f490f5eca3d63977,63ada067910c70a412b74ea7,Thu Dec 29 2022 14:12:55 GMT+0000 (Coordinated Universal Time),Thu Dec 29 2022 14:12:55 GMT+0000 (Coordinated Universal Time),Thu Dec 29 2022 14:12:55 GMT+0000 (Coordinated Universal Time),false,podcast-guest,false,Kameleoon,https://www.kameleoon.com/,Senior Director,https://uploads-ssl.webflow.com/5be066740487be149c23be72/63ada054cee58c5d70019568_IKr9lPdV_400x400.jpg,,,https://ca.linkedin.com/in/collincrowell,false,
Eliza Mukherjee,eliza-mukherjee,5f762516f490f5eca3d63977,625ea9f559cbe51ee1547b6d,Tue Apr 19 2022 12:24:21 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 14:55:19 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 14:55:19 GMT+0000 (Coordinated Universal Time),true,podcast-guest,false,iQuanti,https://www.iquanti.com/,Lead Analyst,https://uploads-ssl.webflow.com/5be066740487be149c23be72/625ea975db7c23c749a3ca58_eliza.jpg,,,https://www.linkedin.com/in/eliza-mukherjee-3a9129a2,false,
Gerda Vogt-Thomas,gerda-vogt-thomas,5f762516f490f5eca3d63977,625ebd202e2ad3b2453daa64,Tue Apr 19 2022 13:46:08 GMT+0000 (Coordinated Universal Time),Tue Apr 19 2022 13:46:08 GMT+0000 (Coordinated Universal Time),Tue Apr 19 2022 13:46:08 GMT+0000 (Coordinated Universal Time),true,podcast-guest,false,Koalatative,https://koalatative.com/,CRO & Content/Co-Founder,https://uploads-ssl.webflow.com/5be066740487be149c23be72/625ebd1260fb3b408c81e001_gerda.jpg,,,https://www.linkedin.com/in/gerda-vogt-thomas/,false,
Alun  Lucas,alun-lucas,5f762516f490f5eca3d63977,62595356bb7a9281b9fc4ff6,Fri Apr 15 2022 11:13:26 GMT+0000 (Coordinated Universal Time),Fri Apr 15 2022 11:13:26 GMT+0000 (Coordinated Universal Time),Fri Apr 15 2022 11:13:26 GMT+0000 (Coordinated Universal Time),false,podcast-guest,false,Zuko Analytics,https://www.zuko.io/,Managing Director,https://uploads-ssl.webflow.com/5be066740487be149c23be72/625952f3bb7a92e43ffc4d37_Alun-Lucas-e1625135402559.jpg,,,https://www.linkedin.com/in/alun-lucas-zuko-analytics/,false,
Arnout van Scherpenzeel,arnout-van-scherpenzeel,5f762516f490f5eca3d63977,61c4ff3af164123e55c219eb,Thu Dec 23 2021 22:59:06 GMT+0000 (Coordinated Universal Time),Thu Dec 23 2021 22:59:06 GMT+0000 (Coordinated Universal Time),Thu Dec 23 2021 22:59:06 GMT+0000 (Coordinated Universal Time),false,podcast-guest,false,MijnDomein,https://www.mijndomein.nl/,CXO Lead,https://uploads-ssl.webflow.com/5be066740487be149c23be72/61c4ff229ce77ebec5d7641e_1574435364440.jpg,,,https://www.linkedin.com/in/avanscherpenzeel/,false,
Annemarie Klaassen,annemarie-klaassen,5f762516f490f5eca3d63977,5f762516f490f50344d63b40,Tue Sep 10 2019 14:04:19 GMT+0000 (Coordinated Universal Time),Thu Dec 23 2021 22:57:51 GMT+0000 (Coordinated Universal Time),Thu Dec 23 2021 22:57:51 GMT+0000 (Coordinated Universal Time),true,podcast-guest,false,VodafoneZiggo,https://www.vodafoneziggo.nl/,Senior CRO Specialist & Analyst ,https://uploads-ssl.webflow.com/5be066740487be149c23be72/5f69fd0a7232f9c9ff545bc5_5d77ad3d601a2e1f5becdbe2_annemarie.jpg,,https://twitter.com/am_klaassen,https://nl.linkedin.com/in/annemarie-klaassen-4a55a310,false,
Els Aerts,els-aerts,5f762516f490f5eca3d63977,5f762516f490f51a8fd63bd7,Wed Mar 25 2020 20:07:44 GMT+0000 (Coordinated Universal Time),Thu Dec 23 2021 22:56:52 GMT+0000 (Coordinated Universal Time),Thu Dec 23 2021 22:57:22 GMT+0000 (Coordinated Universal Time),true,podcast-guest; book-author,true,AGConsult,https://www.agconsult.com/nl/,The 'A' from AGConsult,https://uploads-ssl.webflow.com/5be066740487be149c23be72/5f68ce83401f93555fdfc584_5e7bc169a627bcacdb390138_Els_0be59f146d7241dac208e3419f9e71d3.jpg,,https://twitter.com/els_aerts,https://be.linkedin.com/in/elsaertswebusability,,
