Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL,Radio station?
Stitcher,stitcher,62446457cab48bbc6b251975,62446457cab48b8540251d0c,Thu Mar 07 2019 16:57:39 GMT+0000 (Coordinated Universal Time),Wed Aug 10 2022 09:09:56 GMT+0000 (Coordinated Universal Time),Wed Aug 10 2022 09:09:56 GMT+0000 (Coordinated Universal Time),9,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b842f252357_5c842d163645871610fd986c_5c33eda3ee3329501ac53a77__178f8b9c01c01203e33dc0640da77d6d.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b59fa252358_stitcher-icon.png,https://www.stitcher.com/s?fid=721576,false
Podchaser,podchaser,62446457cab48bbc6b251975,6284aea9f33ef50e1cf7fdd3,Wed May 18 2022 08:30:33 GMT+0000 (Coordinated Universal Time),Wed May 18 2022 08:31:07 GMT+0000 (Coordinated Universal Time),Wed May 18 2022 08:31:13 GMT+0000 (Coordinated Universal Time),99,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6284aea460eed20474a57957_podchaser-logo-bw.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6284ae53e42e5f9551a949f8_podchaser-logo-100.png,https://www.podchaser.com/podcasts/crocafe-deutsch-4299186,false
Amazon Music,amazon-music,62446457cab48bbc6b251975,62446457cab48ba1bb251cfb,Fri Oct 30 2020 11:42:36 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:43:29 GMT+0000 (Coordinated Universal Time),Wed May 18 2022 08:20:27 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48bf6b7252338_amazon.png,https://music.amazon.com/podcasts/1a81b8b8-5216-42d7-9b3e-fa17b3ee8fdf,false
Apple Podcasts,itunes,62446457cab48bbc6b251975,62446457cab48b5a68251d0f,Thu Mar 07 2019 16:56:14 GMT+0000 (Coordinated Universal Time),Wed May 18 2022 08:20:11 GMT+0000 (Coordinated Universal Time),Wed May 18 2022 08:20:27 GMT+0000 (Coordinated Universal Time),1,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b669625235e_5d20613ffce0e3f9cf8bf68c_apple-podcast_3943de2efc2a368c4f2861af2fcd5cc9.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b33c925235f_apple-podcast-icon.png,https://podcasts.apple.com/nl/podcast/cro-cafe-deutsch/id1624573909,false
Deezer,deezer,62446457cab48bbc6b251975,62446457cab48b9f16251cfc,Fri Oct 30 2020 11:33:52 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:22:32 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:25:04 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b1dfb252339_deezer-bw.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b3fa325233a_deezer.png,https://www.deezer.com/en/show/3705867,false
Listen Notes,listen-notes,62446457cab48bbc6b251975,62446457cab48beadb251cfe,Fri Oct 30 2020 11:17:59 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:24:41 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:25:04 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b72f625233d_ln-bw.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b5f0125233e_ln.png,https://www.listennotes.com/podcasts/crocafe-deutsch-yvonne-teufel-michael-GQM745IYhbA/,false
Player.fm,player-fm,62446457cab48bbc6b251975,62446457cab48b17b8251d01,Mon Oct 12 2020 18:26:24 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:22:54 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:25:04 GMT+0000 (Coordinated Universal Time),15,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b48de252343_playerfmlogo.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b41d4252344_playerfmlogo-color.png,https://player.fm/series/crocafe-deutsch-3349963,false
Podcast Addict,podcast-addict,62446457cab48bbc6b251975,62446457cab48bcfe1251d03,Tue Oct 08 2019 21:08:21 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:22:10 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:25:04 GMT+0000 (Coordinated Universal Time),7,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b1adb252347_5d9cfb09cf685a9e2b9ac99b_Podcast-Addict_4ce72e33e38e192d2e03f7bf654d7550.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48bf1d9252348_pa-icon.png,https://podcastaddict.com/podcast/3844571,false
Podcast Index,podcast-index,62446457cab48bbc6b251975,62446457cab48b659d251cfd,Fri Oct 30 2020 11:27:45 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:24:15 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:25:04 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b878825233b_index-bw.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b9c5b25233c_index-color.png,https://podcastindex.org/podcast/5431815,false
Spotify,spotify,62446457cab48bbc6b251975,62446457cab48bd7a3251d0e,Thu Mar 07 2019 16:57:02 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:20:13 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 22:25:04 GMT+0000 (Coordinated Universal Time),2,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48bc5c125235b_5be2e7adafdcd72247118cd1_spotify-32.png,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48beecd25235c_spotify-icon.png,https://open.spotify.com/show/3uhdVQeyB94u666zuzh6Lo,false
