Name & SERP Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Intro & SERP Meta Description,directmp3link,Publication date,Season,Episode ID - short,Overall episode number,Bonus episode?,Main image,Shownotes/ extra info,Youtube Embed code,All guests (incl main guest),Transcript,Featured (popular)
"Accesibilidad, la necesidad de atender a todos tus clientes",accesibilidad-la-necesidad-de-atender-a-todos-tus-clientes,5faaf2006f511c11f5933cc3,620c271e75a2aa920fa4916b,Tue Feb 15 2022 22:20:14 GMT+0000 (Coordinated Universal Time),Tue Feb 15 2022 22:20:14 GMT+0000 (Coordinated Universal Time),Tue Feb 15 2022 22:20:14 GMT+0000 (Coordinated Universal Time),"La accesibilidad no es solo construir un diseño digital que sea accesible para cualquier persona, independientemente de sus capacidades o limitaciones.",https://chrt.fm/track/D992D/media.transistor.fm/ab6c8897/153ad01e.mp3,Wed Feb 16 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,48,48,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/620c10f8f9547d1bf5795db7_arantxa-hernandez-200.png,"<ul><li><a href=""http://cottonfields.es/"">http://cottonfields.es/</a></li><li><a href=""https://www.linkedin.com/in/cottonfields/"">https://www.linkedin.com/in/cottonfields/</a></li><li><a href=""https://twitter.com/cottonfieldsbcn"">https://twitter.com/cottonfieldsbcn</a></li></ul>",,arantxa-hernandez,,false
"Administración pública y ecosistema digital, cómo se hacen y para qué sus webs y apps",administracion-publica-y-ecosistema-digital-como-se-hacen-y-para-que-sus-webs-y-apps,5faaf2006f511c11f5933cc3,61f98262034c25b419351631,Tue Feb 01 2022 18:56:34 GMT+0000 (Coordinated Universal Time),Tue Feb 01 2022 18:56:34 GMT+0000 (Coordinated Universal Time),Tue Feb 01 2022 18:56:34 GMT+0000 (Coordinated Universal Time),"¿Qué entendemos por una conversión en un activo digital de la administración pública?, ¿por qué hacer cualquier cosa parece tan difícil en esas webs / apps?",https://chrt.fm/track/D992D/media.transistor.fm/c1db10cd/9fb36596.mp3,Wed Feb 02 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,,46,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/61d4a7b59a8c48222db37f6d_sergio-jimenez-200.png,"<ul><li><a href=""https://sergiojimenez.net/"">https://sergiojimenez.net/</a></li><li><a href=""https://www.linkedin.com/in/sergiojimenezm/"">https://www.linkedin.com/in/sergiojimenezm/</a></li><li><a href=""https://twitter.com/craselrau"">https://twitter.com/craselrau</a></li></ul>",,sergio-jimenez,,false
Análisis y optimización multicanal: e-commerce y tiendas físicas con un objetivo común,analisis-y-optimizacion-multicanal-e-commerce-y-tiendas-fisicas-con-un-objetivo-comun,5faaf2006f511c11f5933cc3,60519c0dc4c39e383a9cc333,Wed Mar 17 2021 06:05:01 GMT+0000 (Coordinated Universal Time),Wed Mar 17 2021 06:05:01 GMT+0000 (Coordinated Universal Time),Wed Mar 17 2021 06:05:15 GMT+0000 (Coordinated Universal Time),"Hablamos con Hector Mainar, director digital de Futbol Emotion, sobre la medición y mejora en un negocio que emplea tanto canales digitales como tiendas físicas",https://chrt.fm/track/D992D/media.transistor.fm/21f59e32/798009f9.mp3,Wed Mar 17 2021 00:00:00 GMT+0000 (Coordinated Universal Time),1,6,6,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/5ffa1f11917a61e2b94dcdcd_hector-mainar.jpg,"<ul><li><a href=""https://www.linkedin.com/in/hectormainar/""><em>https://www.linkedin.com/in/hectormainar/</em></a><em>&nbsp;</em></li><li><a href=""http://www.hectormainar.com/""><em>http://www.hectormainar.com/</em></a><em>&nbsp;</em></li><li><a href=""https://twitter.com/hectormainar""><em>https://twitter.com/hectormainar</em></a><em> </em></li></ul>",,hector-mainar,"<p>En la conversación con Hector, de Futbol Emotion, estas fueron algunas de las cuestiones principales que tratamos:<br></p><ul><li>¿Cómo se planifica la mejora en Futbolemotion, es un trabajo estructurado y planificado, se hace en base a cuando surgen las oportunidades?</li><li>¿Cuales son las mejores decisiones que se han tomado a lo largo de la historia del proyecto en términos de rentabilidad?</li><li>El uso de la tecnología es clave para un proyecto digital, ¿cuales han sido las decisiones tecnológicas claves en la historia de Futbol Emotion?</li><li>¿Qué tipo de experimentación y personalización se hace en un negocio de este tipo, donde hay experiencia digital y física por igual?</li><li>En base a tu experiencia, ¿cuales son las mejores prácticas de conversión que has comprobado que son realmente eficaces para un negocio como el vuestro?</li><li>¿Los datos de la experiencia física en tienda se emplean en la estrategia digital y viceversa?</li><li>¿Cuales son los retos de un marketplace como el vuestro de cara al futuro?</li></ul><p>Hector compartió con nosotros la visión que tienen del e-commerce y d elas posibilidades futuras de los canales digitales para cualquier comercio, y como deben ser medidas las experiencias e interacciones para poder obtener el máximo rendimiento.</p>",false
Analítica digital: midiendo y activando datos,analitica-digital-midiendo-y-activando-datos,5faaf2006f511c11f5933cc3,61e73e0ee5746f1bdd80ccb7,Tue Jan 18 2022 22:24:14 GMT+0000 (Coordinated Universal Time),Tue Jan 18 2022 22:24:14 GMT+0000 (Coordinated Universal Time),Tue Jan 18 2022 22:24:37 GMT+0000 (Coordinated Universal Time),"Ana Soplón comparte su dilatada experiencia en medición y activación de datos, con foco en el sector banca y seguros.",https://chrt.fm/track/D992D/media.transistor.fm/8958eb3e/f3c03c2f.mp3,Wed Jan 19 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,44,44,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/61e73cfadec9430bf4740796_Ana-Soplon-200x200BN.jpg,"<ul><li><a href=""https://www.linkedin.com/in/anasoplon/"">https://www.linkedin.com/in/anasoplon/</a></li><li><a href=""https://twitter.com/ana_soplon"">https://twitter.com/ana_soplon</a></li></ul>",,ana-soplon,,false
Analítica digital y CRO en grandes comercios tradicionales,analitica-digital-y-cro-en-grandes-comercios-asi-trabajan-en-el-corte-ingles,5faaf2006f511c11f5933cc3,60a41c69dc4a916823e15bc1,Tue May 18 2021 19:58:33 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 19:58:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 19:59:00 GMT+0000 (Coordinated Universal Time),Laura y Ricardo hablan largo y tendido de cómo se emplean los datos de los activos digitales y como se gestiona el CRO en ECI,https://chrt.fm/track/D992D/media.transistor.fm/572ef619/76d1e278.mp3,Wed May 19 2021 00:00:00 GMT+0000 (Coordinated Universal Time),1,,13,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/60a404f2d0c6dc6c1edd7612_laura-rodriguez-200x200.jpg,<ul><li>https://www.linkedin.com/in/larod/</li><li>https://twitter.com/laurarodrez</li></ul>,,laura-rodriguez,"<p>En esta charla con Laura sobre como se gestiona la analítica digital y el CRO en un gran comercio como es El Corte Inglés estas fueron algunas de las preguntas planteadas:</p><ul><li>¿Cómo es trabajar en CRO en una organización con tanta historia y una marca tan consolidada y vinculada a un tipo de público no digital?</li><li>¿Cómo se crea una cultura de CRO en ECI?</li><li>¿Cual es el proceso de datos y CRO estándar que seguís en ECI?</li><li>Cuales han sido los principales retos y dificultades a los que te has enfrentado en ECI</li><li>Cuales son los retos que tienes ahora mismo para la transformación de la organización y su evolución</li><li>La digitalización y una correcta CXO son claves para cualquier negocio “tradicional” ahora, ¿en qué estás trabajando ahora mismo?</li><li>¿Cómo es la relación entre departamentos y personas para poder gestionar correctamente las acciones digitales?</li><li>La mayoría de los suscriptores consideran el CRO estratégico como su área de principal interés, ¿hay trabajo estratégico, de definición estructurada de acciones, en ECI, cómo se hace?</li></ul>",true
"Behavioral design, aplicando la ciencia del comportamiento al diseño",behavioural-design-aplicando-la-ciencia-del-comportamiento-al-diseno,5faaf2006f511c11f5933cc3,61dde8b9ff89604aa236a71a,Tue Jan 11 2022 20:29:45 GMT+0000 (Coordinated Universal Time),Wed Jan 12 2022 07:34:18 GMT+0000 (Coordinated Universal Time),Wed Jan 12 2022 07:34:38 GMT+0000 (Coordinated Universal Time),"En este episodio hablamos sobre como aplicar la ciencia del comportamiento (sesgos cognitivos, heurísticos, etc) al diseño de productos y servicios digitales.",https://chrt.fm/track/D992D/media.transistor.fm/a2feb95d/cd1cb3d0.mp3,Wed Jan 12 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,43,43,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/61d4a84c880098a9c0b69ce1_dani-solana-200.png,"<ul><li><a href=""https://twitter.com/daniel_solana"">https://twitter.com/daniel_solana</a></li><li><a href=""https://www.linkedin.com/in/dani-solana"">https://www.linkedin.com/in/dani-solana</a></li></ul>",,dani-solana,,false
Bienvenidos a CRO.CAFE en español,bienvenidos-a-cro-cafe-en-espanol,5faaf2006f511c11f5933cc3,5fd005bf96b6000bd1064f0a,Tue Dec 08 2020 23:01:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:51:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:51:39 GMT+0000 (Coordinated Universal Time),El multipremiado podcast sobre conversión y mejora de experiencia de cliente que comenzó su emisión en 2019 y que ya cuenta con miles de suscriptores.,https://cdn.transistor.fm/file/transistor/m/shows/16111/f2936f99c1708e4caf452fbc929b5eae.mp3,Mon Dec 07 2020 00:00:00 GMT+0000 (Coordinated Universal Time),1,,1,true,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf07bc269efb4812c4011_icons8-team-7LNatQYMzm4-unsplash.jpeg,"<p><a href=""/suscribir"" target=""_blank"">Suscribir</a></p>",,ricardo-tayar-lopez,"<p>Si trabajas en el mundo del marketing digital o en la optimización, mejora, diseño y desarrollo de servicios y productos digitales, este es el podcast que no te puedes perder. Bienvenidos a CRO.CAFE en español, por fin en español el multipremiado podcast sobre conversión y mejora de experiencia de cliente que comenzó su emisión en 2019 y que ya cuenta con miles de suscriptores.</p><p>Mi nombre es Ricardo Tayar, tras más de 20 años dedicado al mundo de la optimización y conversión en negocios digitales voy a ser vuestro anfitrión en este podcast, en el que contaré con los mejores profesionales de CRO de habla hispana de todos los rincones del mundo.</p><p>Queremos dar voz a todo tipo de profesionales digitales vinculados al CRO y compartir y aprender con ellos, desde aquellos que trabajan en grandes compañías a profesionales y proyectos pequeños de los que podemos aprender muchísimas cosas. En este podcast vas a escuchar cosas que no vas a oir en ningún evento ni en ningún otro lugar, os lo aseguro.</p><p>¿Qué podéis esperar de este podcast? De inicio, lanzaremos un episodio nuevo cada 15 días. Y en cada episodio entrevistaré a un profesional procedente de cliente, agencia o solución, para centrarnos y profundizar en un tema específico sobre el que tratará el episodio.</p><p>Por supuesto no vas a querer perderte ni un solo episodio, así que por favor, suscríbete en tu app favorita de podcasting, seguramente la que estás usando ahora. Si no es así puedes ir a cro-cafe.es/suscribir para encontrar la app que quieres usar y suscribirte.</p><p>Y si estás pensando “hey, creo que puedo contar algo interesante en este podcast o creo que deberías entrevistar a esta persona”, no lo dudes, mándame un mensaje a <a href=""mailto:ricardo@cro-cafe.es"">ricardo@cro-cafe.es</a> o pon un mensaje en el grupo de Facebook cro-cafe.es/facebook y seguro que podremos hacer un episodio con esa persona muy pronto.</p><p>De nuevo, bienvenidos a la comunidad de CRO.CAFE en español. Os invito a que nos escucheis. Este podcast está hecho con mucha dedicación, cariño y solo pensando en contenido de calidad. Nos vemos en el siguiente episodio y seguid optimizando.</p><p><br></p><p><br></p><p>‍</p>",true
"Búsquedas internas, eficacia y conversión",busquedas-internas-eficacia-y-conversion,5faaf2006f511c11f5933cc3,607f33030fe3c02a2d3bb5b8,Tue Apr 20 2021 20:01:07 GMT+0000 (Coordinated Universal Time),Tue Apr 20 2021 20:01:07 GMT+0000 (Coordinated Universal Time),Tue Apr 20 2021 20:01:22 GMT+0000 (Coordinated Universal Time),Hablamos largo y tendido de la importancia de la calidad de los resultados de las búsquedas internas en las webs de un negocio digital de cara a conversión.,https://chrt.fm/track/D992D/media.transistor.fm/b4b6270b/17f494fe.mp3,Wed Apr 21 2021 00:00:00 GMT+0000 (Coordinated Universal Time),1,,10,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/6032bc4184244b48ca355c6d_ivan-navas-2.jpg,<ul><li>https://www.linkedin.com/in/ivan-navas-2ab49914/</li><li>https://www.doofinder.com/es/</li><li>https://twitter.com/Ivan__Navas</li></ul>,,ivan-navas,"<p>Estas son las preguntas y temas que tratamos en este episodio</p><ul><li>La búsqueda, el poder localizar un elemento sobre el que un usuario desea informarse o comprar es un elemento crítico para poder luego generar una venta, ¿cuales son las mejoras transaccionales que pueden esperarse en una experiencia no optimizada frente a otra que sí?</li><li>¿Cómo funciona un buscador?</li><li>¿Y cómo funciona Doofinder, cuales son sus diferencias frente a otros competidores?, ¿cómo es y cómo funciona la tecnología que hay por detrás?</li><li>¿Cuales son las principales métricas de las que un e-commerce o negocio digital debería hacer seguimiento en lo relativo a site search?</li><li>La forma de buscar se ha actualizado en los últimos años de manera muy acelerada con la entrada en los hábitos de la búsqueda por voz, los asistentes o el uso en vehículos, ¿buscamos igual en todas las situaciones e interfaces?</li><li>¿Qué directrices debemos seguir para crear la experiencia de búsqueda idónea, qué cosas no debemos olvidar nunca y cuales potenciar siempre?</li><li>¿Cual ha sido tu mejor experiencia de búsqueda y por qué?</li></ul><p>Esperamos que os haya resultado no solo útil, sino entretenido y enriquecedor.</p>",true
Cómo funcionan las herramientas de testing y personalización,como-funcionan-las-herramientas-de-testing-y-personalizacion,5faaf2006f511c11f5933cc3,60b6970848968d122a398ff6,Tue Jun 01 2021 20:22:32 GMT+0000 (Coordinated Universal Time),Tue Jun 01 2021 20:22:32 GMT+0000 (Coordinated Universal Time),Tue Jun 01 2021 20:22:38 GMT+0000 (Coordinated Universal Time),Hablamos de manera clara y sencilla sobre como funcionan las herramientas de testing y personalización. Os quedará claro y meridiano como el agua cristalina.,https://chrt.fm/track/D992D/media.transistor.fm/6523651c/2229bb06.mp3,Wed Jun 02 2021 00:00:00 GMT+0000 (Coordinated Universal Time),1,,17,true,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/60b6967ad0dc1363cb7e3ce0_Ricardo-Tayar-BN-1.jpg,<ul><li>www.ricardotayar.com</li><li>www.flat101.es</li><li>https://www.linkedin.com/in/ricardotayar/</li><li>https://twitter.com/rtayar</li></ul>,,ricardo-tayar-lopez,"<p>Este bonus surge por una serie de preguntas que me hacen alumnos de los masters y cursos donde imparto clases y que son recurrentes, acerca de como funcionan las herramientas de testing y personalización y cuales son las más adecuadas para cada proyecto o cliente.<br></p><p>De inicio debemos distinguir el testing de la personalización.<br></p><p>En el testing siempre existe un grupo de control. El grupo de control son un conjunto de usuarios que siempre van a ver la versión original de la URl, pantalla o proceso que esté siendo objeto del test.<br></p><p>Luego están las versiones alternativas de esa URL, pantalla o proceso o variaciones. A esas versiones llegan usuarios en la misma proporción que a la versión de control, y el objetivo es comprobar como los cambios presentados en las variaciones afectan a la métrica de control que hemos definido.<br></p><p>Por ejemplo, queremos testar una página de producto en la que modificamos la fotografía del producto. Y empleamos dos variaciones, cada una con una imagen de producto diferente. El KPI principal que medimos es el clic en add to cart.<br></p><p>Hecho de esta forma, en este test el 33,3% de los usuarios que accedan a esa URL del producto verán la versión original, otro 33,3% la versión alternativa 1 y otro 33,3% la versión alternativa dos.<br></p><p>En función del rendimiento de cada versión de cara al KPI principal que medimos y teniendo en cuenta todos los datos relativos al test valoraremos cual de dichas versiones ha funcionado mejor.</p><p>En la personalización no tenemos un grupo de control, ni versiones o variaciones de una URL, pantalla o proceso.<br></p><p>Lo que hacemos es indicar que a un conjunto de usuarios definido por una serie de variables se le enseñe esa URL, pantalla o proceso de una manera concreta, por pertenecer a ese grupo de usuarios, pero no se compara su rendimiento con otro grupo similar como si se haría en un test.<br></p><p>Teniendo esto claro pasaríamos a diferenciar las herramientas client-side de las server-side.<br></p><p>En client-side los cambios se ejecutan en el navegador via JS. Se sirve la misma URL, pero los cambios ocurren en el navegador del usuario. Mejor para cambios ligeros que no influyan en la funcionalidad o en nada que no sea estrictamente el layout definido. Baja carga de IT. Efecto flickering y su impacto en conversión.<br></p><p>En server-side, los cambios se producen a nivel de servidor. Llega una petición y se sirve el contenido que corresponde en función de cual sea la versión que corresponda a cada usuario. Mayor carga técnica. Mayor robustez, sobre todo sitios dinámicos con presencia de SPA.</p><p>Dentro de las client-side tenemos las que cargan su JS de forma síncrona y de forma asíncrona.</p><p>La carga síncrona implica que cada script se carga complemtamente antes de cargar el siguiente. La asíncrona permite la carga simultánea de scripts.</p><p>En general se prefiere la carga asíncrona.</p><p>¿Qué herramienta es mejor?</p><p><br></p><p><br></p><p><br></p>",true
Como integrar experiencias de compra físicas con activos digitales: supermercados,como-integrar-experiencias-de-compra-fisicas-con-activos-digitales-supermercados,5faaf2006f511c11f5933cc3,603e9ddce943e65e4e8f7765,Tue Mar 02 2021 20:19:40 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:50:58 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:50:58 GMT+0000 (Coordinated Universal Time),"Hablamos con Rocío Sanz sobre cómo medir y optimizar la experiencia de compra, off y online, de un supermercado, y sobre la integración de ambos.",https://chtbl.com/track/D992D/media.transistor.fm/164b6dc4/e16fab01.mp3,Wed Mar 03 2021 00:00:00 GMT+0000 (Coordinated Universal Time),1,5,5,false,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf051a2eb55e3059033ff_rocio-sanz.jpeg,"<ul><li><a href=""https://www.linkedin.com/in/rociosanzortega/""><em>https://www.linkedin.com/in/rociosanzortega/</em> </a></li></ul>",,rocio-sanz,"<p>En este episodio con Rocío Sanz, eCommerce Manager de Supermercados Dia, hablamos largo y tendido sobre los principales aspectos que afectan a la conversión y rendimiento comercial de un supermercado online y como esta experiencia de compra integra los canales off y online.</p><p>Algunos de los temas que tratamos son los siguientes:</p><ul><li>La compra en un supermercado autoservicio forma parte de nuestro día a día desde 1916 (Piggly Wiggly), y arrastramos unos hábitos, un modelo de uso desde hacer muchos años&nbsp; ¿cómo se adapta esa experiencia de compra al formato digital para que sea exitosa?, ¿se utilizan los datos procedentes de la experiencia física para crear la experiencia digital?</li><li>Este año Flat 101 ha lanzado un estudio muy extenso sobre experiencias digitales de compra en supermercados y hay tres painpoints principales según los usuarios: falta de contenido nutricional, menús complejos y filtros poco útiles,&nbsp; ¿cómo se mide la evolución de estos painpoints y cómo definís las acciones para mitogarlos?</li><li>¿Cómo se trabaja en el día a día para medir y optimizar un supermercado online?, ¿cual es el método de trabajo y los KPIs principales que se siguen para valorar el rendimiento?</li><li>¿Cuales son las principales diferencias entre el modelo digital de un supermercado y otros en los que hayas trabajado previamente?</li><li>Para poder medir y proponer mejoras, ¿cual es el stack de herramientas con el que trabajáis en DIA y con qué objetivos o utilidad?</li><li>¿Cuales son los drivers de conversión principales que existen en un supermercado online?, ¿cómo los gestionais?</li><li>Con la llegada del Covid la compra online en supermercados se ha incrementado notablemente. Ya han pasado varios meses desde el inicio de la pandemia, ¿esta tendencia se mantiene, mengua, se incrementa?</li><li>Al tener la mayoría de supermercados espacios físicos de compra, ¿es este el momento de crear experiencias híbridas de verdad, qué estáis haciendo en ese sentido?</li><li>¿Cómo será comprar en un supermercado online dentro de 10 años?, ¿cómo lo imaginas?</li></ul><p>Rocío se explica de una manera clara y muy didáctica y comparte con nosotros los grandes hitos y retos de su trabajo cada día. Disfrutadlo, que vale mucho la pena.</p>",false
